city;coordinateNumber;nameImpurity;1September;2September;3September;4September;5September;6September;7September;8September;9September;10September;11September;12September;13September;14September;15September;16September;17September;18September;19September;20September;21September;22September;23September;24September;25September;26September;27September;28September;29September;30September;;;;;;;;;;;;
Ужгород;4862230;Сульфати;null;0,005;0,003;0,005;0,007;0,0085;0,01;null;0,0085;0,0065;0,0075;0,0045;0,007;0,009;null;0,005;0,0065;0,009;0,0095;0,006;0,0075;null;0,0065;0,006;0,0075;0,0075;0,0055;0,006;null;0,0075;;;;;;;;;;;;
Ужгород;4862230;Оксид вуглецю;null;0,7625;0,805;0,7825;0,795;0,8075;0,82;null;0,8275;0,945;0,865;0,82;0,8525;0,825;null;0,875;1,0475;0,855;0,82;1,335;0,8475;null;0,895;1,005;0,9025;1,0825;0,9125;0,8625;null;0,8125;;;;;;;;;;;;
Ужгород;4862230;Дiоксид азоту;null;0,074875;0,063625;0,075875;0,062;0,068875;0,075375;null;0,081625;0,078125;0,061625;0,046625;0,0535;0,053125;null;0,11925;0,0695;0,03725;0,04625;0,07525;0,058;null;0,078;0,076;0,05425;0,047125;0,065125;0,0575;null;0,04725;;;;;;;;;;;;
Ужгород;4862230;Оксид азоту;null;0,04825;0,034;0,03975;0,0335;0,03625;0,0505;null;0,04425;0,04125;0,03575;0,0375;0,042;0,0285;null;0,08925;0,03675;0,026;0,029;0,0465;0,0375;null;0,0555;0,03575;0,02575;0,0295;0,032;0,041;null;0,02425;;;;;;;;;;;;
Ужгород;4862230;Формальдегiд;null;0,009625;0,010625;0,01;0,007875;0,007875;0,007875;null;0,008125;0,00675;0,007125;0,005375;0,006375;0,006375;null;0,008;0,0075;0,005625;0,004625;0,0075;0,007;null;0,007625;0,007875;0,006;0,0065;0,007375;0,00575;null;0,005625;;;;;;;;;;;;
Запоріжжя;4793510;Завислі речовини;null;0,13;0,14;0,13;0,15;0,12;0,12;null;0,12;0,11;0,14;0,16;0,11;0,1;null;0,122222222;0,14;0,11;0,13;0,08;0,08;null;0,08;0,12;0,12;0,07;0,1;0,08;null;0,19;;;;;;;;;;;;
Запоріжжя;4793510;Дiоксид сiрки;null;0,007153846;0,006435714;0,006592857;0,005971429;0,008378571;0,007671429;null;0,006976923;0,0068;0,006721429;0,008171429;0,007328571;0,00795;null;0,008466667;0,007742857;0,007657143;0,008085714;0,008678571;0,00585;null;0,006207692;0,006385714;0,007321429;0,00575;0,006935714;0,0079;null;0,008138462;;;;;;;;;;;;
Запоріжжя;4793510;Сульфати;null;0,02;0,02;0,02;0,02;0,01;0,015;null;0,02;0,025;0,015;0,015;0,01;0,02;null;0,02;0,01;0,01;0,01;0,015;0,01;null;0,015;0,015;0,015;0,01;0,01;0,01;null;0,02;;;;;;;;;;;;
Запоріжжя;4793510;Оксид вуглецю;null;0,57;0,76;0,94;0,74;0,72;0,73;null;0,76;0,68;0,7;0,6;0,83;0,47;null;0,79;0,68;0,77;0,53;0,551;0,472;null;0,772;0,54;0,58;0,43;0,56;0,71;null;1,04;;;;;;;;;;;;
Запоріжжя;4793510;Дiоксид азоту;null;0,086269231;0,081142857;0,086714286;0,091128571;0,103092857;0,065085714;null;0,075176923;0,089728571;0,066157143;0,084871429;0,066178571;0,06315;null;0,078508333;0,071764286;0,080264286;0,073685714;0,105328571;0,087228571;null;0,095946154;0,080657143;0,079;0,056285714;0,050207143;0,064978571;null;0,079353846;;;;;;;;;;;;
Запоріжжя;4793510;Оксид азоту;null;0,037933333;0,055966667;0,0416;0,056333333;0,062933333;0,0417;null;0,048633333;0,034966667;0,0424;0,051666667;0,051733333;0,051833333;null;0,051466667;0,041933333;0,0392;0,048166667;0,064366667;0,062333333;null;0,0648;0,053333333;0,053266667;0,039233333;0,050833333;0,0301;null;0,055566667;;;;;;;;;;;;
Запоріжжя;4793510;Сiрководень;null;0,004822222;0,003045455;0,003281818;0,003018182;0,003227273;0,0031;null;0,002933333;0,002809091;0,003263636;0,003336364;0,0034;0,003281818;null;0,003675;0,003254545;0,003190909;0,003354545;0,003590909;0,0039;null;0,004033333;0,003736364;0,003109091;0,002909091;0,002672727;0,003036364;null;0,0043;;;;;;;;;;;;
Запоріжжя;4793510;Фенол;null;0,006533333;0,00786;0,00764;0,00878;0,00777;0,00495;null;0,005788889;0,00822;0,0061;0,00714;0,00626;0,00726;null;0,007011111;0,00553;0,00545;0,0066;0,00783;0,00683;null;0,008677778;0,00626;0,00695;0,00563;0,00536;0,00582;null;0,008488889;;;;;;;;;;;;
Запоріжжя;4793510;Фтористий водень;null;0,000366667;0,00035;0,00045;0,00035;0,00035;0;null;0;0,00045;0;0;0,00045;0,0004;null;0,00035;0;0;0,00035;0,000625;0,000975;null;0,000666667;0,000175;0,00035;0;0;0;null;0,001333333;;;;;;;;;;;;
Запоріжжя;4793510;Хлористий водень;null;0,043216667;0,0492625;0,0422375;0,05355;0,0546625;0,040925;null;0,036983333;0,0425875;0,0362;0,040275;0,043025;0,0416875;null;0,0498;0,0398875;0,0395125;0,0484375;0,0484625;0,046025;null;0,0478;0,0383;0,0449;0,0408625;0,043475;0,043525;null;0,049433333;;;;;;;;;;;;
Запоріжжя;4793510;Формальдегiд;null;0,009966667;0,009875;0,009325;0,007725;0,006825;0,006775;null;0,006533333;0,008025;0,00795;0,01015;0,00915;0,006925;null;0,008666667;0,006125;0,00895;0,0074;0,008075;0,006425;null;0,009266667;0,005925;0,0078;0,0054;0,0059;0,00625;null;0,012233333;;;;;;;;;;;;
Івано-Франківськ;4892470;Завислі речовини;null;0,16;0,165;0,18;0,19;0,18;0,205;null;0,155;0,145;0,115;0,15;0,145;0,145;null;0,155;0,115;0,155;0,15;0,15;0,17;null;0,15;0,135;0,17;0,15;0,145;0,145;null;0,155;;;;;;;;;;;;
Івано-Франківськ;4892470;Дiоксид сiрки;null;0,006;0,004333333;0,0031;0,00365;0,009666667;0,009675;null;0,004425;0,004425;0,0012;0,0024;0,00365;0,0012;null;0,002775;0,00235;0,0023;0,002725;0,001975;0,002725;null;0,00395;0,00395;0,003575;0,00355;0,00285;0,0024;null;0,0027;;;;;;;;;;;;
Івано-Франківськ;4892470;Оксид вуглецю;null;3,2;2,85;2,1;3,15;2,1;3,2;null;1,8;1,85;1,4;1,95;2,15;1,85;null;1,85;1,55;1,95;2,15;2,05;2,15;null;1,95;1,6;2;1,9;1,9;2,3;null;2,15;;;;;;;;;;;;
Івано-Франківськ;4892470;Дiоксид азоту;null;0,0927;0,056833333;0,0296;0,049975;0,046266667;0,04855;null;0,03635;0,04645;0,03255;0,041475;0,039775;0,038075;null;0,05325;0,038975;0,05185;0,0503;0,058275;0,06055;null;0,04405;0,055475;0,04335;0,036025;0,0365;0,0456;null;0,03635;;;;;;;;;;;;
Івано-Франківськ;4892470;Оксид азоту;null;0,060066667;0,037733333;0,02025;0,03315;0,030666667;0,031875;null;0,02435;0,0302;0,022525;0,027575;0,02655;0,025075;null;0,034325;0,026375;0,033825;0,033275;0,037725;0,036225;null;0,02905;0,037525;0,02945;0,02495;0,02455;0,029675;null;0,02435;;;;;;;;;;;;
Дніпро;4863510;Завислі речовини;null;0,275;0,325;0,275;0,35;0,275;0,2625;null;0,2375;0,1875;0,225;0,25;0,2;0,2625;null;0,2375;0,2625;0,225;0,25;0,3;0,2;null;0,2375;0,2625;0,2875;0,2875;0,325;0,2625;null;0,675;;;;;;;;;;;;
Дніпро;4863510;Дiоксид сiрки;null;0,012555556;0,008708333;0,009416667;0,01175;0,007875;0,009833333;null;0,010888889;0,008458333;0,013791667;0,0085;0,024458333;0,024583333;null;0,016888889;0,020083333;0,012583333;0,016375;0,013333333;0,009041667;null;0,008444444;0,018875;0,015875;0,017041667;0,017708333;0,014166667;null;0,016333333;;;;;;;;;;;;
Дніпро;4863510;Оксид вуглецю;null;2,416666667;2,333333333;2,5;2,166666667;2,25;2,25;null;2,666666667;2,25;2,333333333;2,583333333;3;2,416666667;null;2,083333333;1,833333333;2,083333333;2,333333333;2,583333333;2,166666667;null;2,333333333;1,916666667;2,416666667;2,416666667;2,416666667;2,083333333;null;2,416666667;;;;;;;;;;;;
Дніпро;4863510;Дiоксид азоту;null;0,11;0,07;0,077916667;0,062916667;0,057083333;0,060416667;null;0,074444444;0,059583333;0,07625;0,087916667;0,084583333;0,079166667;null;0,066111111;0,064583333;0,061666667;0,075833333;0,077916667;0,0675;null;0,072777778;0,059583333;0,067083333;0,06625;0,05625;0,06375;null;0,077777778;;;;;;;;;;;;
Дніпро;4863510;Оксид азоту;null;0,046666667;0,03;0,04;0,035;0,0275;0,0275;null;0,04;0,0325;0,04;0,0475;0,04;0,045;null;0,043333333;0,04;0,035;0,045;0,04;0,0375;null;0,046666667;0,0325;0,0375;0,0375;0,0275;0,0375;null;0,033333333;;;;;;;;;;;;
Дніпро;4863510;Сiрководень;null;0,002111111;0,001875;0,002166667;0,003333333;0,0015;0,004416667;null;0,002722222;0,000916667;0,001833333;0,003;0,002291667;0,00275;null;0,0015;0,002416667;0,001125;0,002125;0,001916667;0,003166667;null;0,0015;0,00275;0,001625;0,002833333;0,001541667;0,0025;null;0,001555556;;;;;;;;;;;;
Дніпро;4863510;Фенол;null;0,003444444;0,002333333;0,003416667;0,002416667;0,001833333;0,00275;null;0,002666667;0,003;0,003083333;0,002666667;0,001083333;0,00225;null;0,001444444;0,003083333;0,001416667;0,0035;0,003166667;0,00325;null;0,002222222;0,0025;0,001333333;0,001916667;0,002333333;0,002083333;null;0,002;;;;;;;;;;;;
Дніпро;4863510;Амiак;null;0,05;0,03625;0,05;0,05125;0,055;0,05375;null;0,045;0,035;0,055;0,0525;0,05875;0,0625;null;0,053333333;0,06125;0,05;0,05;0,0425;0,0375;null;0,045;0,0425;0,035;0,03875;0,0525;0,04375;null;0,05;;;;;;;;;;;;
Дніпро;4863510;Формальдегiд;null;0,024;0,018583333;0,018083333;0,023583333;0,019916667;0,0185;null;0,021777778;0,016416667;0,018333333;0,022416667;0,0215;0,021416667;null;0,019888889;0,018;0,016916667;0,01475;0,015833333;0,017416667;null;0,019222222;0,01675;0,01525;0,016833333;0,0175;0,019916667;null;0,021333333;;;;;;;;;;;;
