city;coordinateNumber;nameImpurity;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Запоріжжя;4793510;Фенол;null;0,0072;0,00573;0,00619;0,00654;0,00603;0,00557;null;0,004833333;0,0056;0,00795;0,00789;0,00487;0,00521;null;0,0059;0,00565;0,00635;0,00697;0,00617;0,00562;null;0,006122222;0,00649;0,00501;0,00798;0,0062;0,00602;null;0,006522222
Запоріжжя;4793510;Фтористий водень;null;0,0002;0;0;0,00015;0,0004;0;null;0;0;0,0003;0,0003;0;0;null;0;0;0,00015;0;0,0003;0;null;0;0;0;null;null;null;null;null
Запоріжжя;4793510;Хлористий водень;null;0,056583333;0,044;0,044225;0,03545;0,0451125;0,040075;null;0,03555;0,044575;0,0491875;0,0591375;0,0476;0,039375;null;0,0344;0,0496375;0,05665;0,0401625;0,042725;0,048625;null;0,05225;0,0519;0,0588;0,044375;0,05885;0,03955;null;0,049933333
Запоріжжя;4793510;Формальдегiд;null;0,007266667;0,007275;0,007075;0,0063;0,007175;0,006225;null;0,0067;0,00535;0,0065;0,00725;0,005775;0,005925;null;0,0058;0,006025;0,0069;0,0064;0,007075;0,0054;null;0,006733333;0,006325;0,006175;0,0057;0,007925;0,005775;null;0,0062
Івано-Франківськ;4892470;Завислі речовини;null;0,15;0,105;0,14;0,155;0,14;0,15;null;0,14;0,15;0,11;0,14;0,135;0,15;null;0,16;0,14;0,15;0,14;0,15;0,155;null;0,14;0,15;0,155;0,145;0,12;0,15;null;0,14
Івано-Франківськ;4892470;Дiоксид сiрки;null;0,0081;0,00755;0,0068;0,00615;0,006575;0,006975;null;0,005925;0,005125;0,00715;0,007125;0,005475;0,006725;null;0,00475;0,0068;0,00685;0,0048;0,004375;0,00515;null;0,0057;0,00525;0,004475;0,004075;0,007625;0,004775;null;0,00605
Івано-Франківськ;4892470;Оксид вуглецю;null;1,85;1,25;1,75;2,55;1,8;2,2;null;1,85;1,9;1,35;1,95;1,5;1,85;null;2,95;1,65;2,05;1,8;2,15;2,1;null;1,75;2,15;2,4;1,9;1,5;1,9;null;2,05
Івано-Франківськ;4892470;Дiоксид азоту;null;0,040575;0,04295;0,046075;0,0417;0,048225;0,06075;null;0,0426;0,0497;0,04355;0,04775;0,055825;0,057275;null;0,047375;0,042575;0,046125;0,04955;0,04515;0,0536;null;0,073275;0,0668;0,06165;0,06465;0,064725;0,0718;null;0,0614
Івано-Франківськ;4892470;Оксид азоту;null;0,029775;0,0292;0,03075;0,02615;0,0325;0,04055;null;0,0282;0,034425;0,029175;0,03365;0,03815;0,038275;null;0,0334;0,030925;0,0327;0,0356;0,03055;0,036775;null;0,0489;0,044925;0,043825;0,0429;0,042875;0,046775;null;0,039325
Дніпро;4863510;Завислі речовини;null;0,2875;0,35;0,3875;0,3625;0,3375;0,3;null;0,3625;0,3;0,2625;0,3125;0,4;0,2375;null;0,35;0,3875;0,375;0,4125;0,3625;0,2375;null;0,2625;0,2625;0,325;0,35;0,2625;0,225;null;0,2375
Дніпро;4863510;Дiоксид сiрки;null;0,006722222;0,007458333;0,006833333;0,00675;0,00625;0,00575;null;0,005277778;0,006458333;0,007625;0,005458333;0,007541667;0,004916667;null;0,006;0,006166667;0,00725;0,006375;0,005125;0,005083333;null;0,005833333;0,00475;0,005333333;0,007333333;0,004541667;0,005791667;null;0,005444444
