city;coordinateNumber;nameImpurity;1December;2December;3December;4December;5December;6December;7December;8December;9December;10December;11December;12December;13December;14December;15December;16December;17December;18December;19December;20December;21December;22December;23December;24December;25December;26December;27December;28December;29December;30December;31December;
Запоріжжя;4793510;Завислі речовини;null;0,07;0,07;0,07;0,04;0,1;0,09;null;0,1;0,06;0,13;0,15;0,09;0,05;null;0,11;0,09;0,08;0,1;0,09;0,11;null;0,09;0,14;0,17;0,14;0,12;0,14;null;0,08;0,06;
Запоріжжя;4793510;Дiоксид сiрки;null;0,0078;0,008192857;0,008314286;0,008614286;0,006207143;0,005471429;null;0,006353846;0,007221429;0,008435714;0,006621429;0,0061;0,00525;null;0,006315385;0,007014286;0,005328571;0,006035714;0,007457143;0,007078571;null;0,007138462;0,008471429;0,0084;0,007335714;0,0072;0,007371429;null;0,006415385;0,00625;
Запоріжжя;4793510;Сульфати;null;0,01;0,01;0,01;0,01;0,015;0,01;null;0,01;0,015;0,01;0,01;0,015;0,01;null;0,01;0,01;0,01;0,01;0,01;0,01;null;0,01;0,02;0,02;0,015;0,015;0,01;null;0,015;0,055;
Запоріжжя;4793510;Оксид вуглецю;null;0,43;0,41;0,38;0,53;0,55;0,32;null;0,56;0,49;0,45;0,43;0,33;0,47;null;0,44;0,44;0,41;0,51;0,58;0,48;null;0,62;0,56;0,57;0,37;0,24;0,33;null;0,48;0,49;
Запоріжжя;4793510;Дiоксид азоту;null;0,074476923;0,083985714;0,069328571;0,067721429;0,0708;0,053285714;null;0,052792308;0,077242857;0,064592857;0,055757143;0,05825;0,050457143;null;0,055669231;0,067492857;0,059907143;0,054885714;0,0636;0,059757143;null;0,060215385;0,075142857;0,094014286;0,065835714;0,060557143;0,058242857;null;0,056930769;0,048221429;
Запоріжжя;4793510;Оксид азоту;null;0,047333333;0,047566667;0,0363;0,046833333;0,0385;0,030133333;null;0,0452;0,052233333;0,039466667;0,0368;0,039133333;0,036633333;null;0,032633333;0,039866667;0,0327;0,032366667;0,033166667;0,030866667;null;0,041733333;0,0414;0,0475;0,036333333;0,040466667;0,0495;null;0,0389;0,0344;
Запоріжжя;4793510;Сiрководень;null;0,003666667;0,003654545;0,003536364;0,003409091;0,002881818;0,002727273;null;0,003;0,002727273;0,003163636;0,003381818;0,002618182;0,002563636;null;0,003011111;0,003318182;0,003081818;0,002890909;0,002672727;0,002572727;null;0,002777778;0,003245455;0,003163636;0,003218182;0,002981818;0,002945455;null;0,003066667;0,002781818;
Запоріжжя;4793510;Фенол;null;0,006277778;0,00674;0,0064;0,00568;0,00496;0,00621;null;0,005122222;0,00612;0,0051;0,00437;0,00507;0,00426;null;0,004333333;0,00464;0,00531;0,00494;0,00564;0,00608;null;0,005844444;0,00704;0,00842;0,0072;0,00765;0,00597;null;0,006055556;0,00466;
Запоріжжя;4793510;Фтористий водень;null;0,0002;0;0;0;0;0;null;0;0;0;0;0;0;null;0;0;0;0;0;0;null;0;0,000525;0,0012;0,0004;0,0003;0,00015;null;0;0;
Запоріжжя;4793510;Хлористий водень;null;0,04755;0,038275;0,0439125;0,0365;0,0390125;0,028225;null;0,041016667;0,0409375;0,0363;0,0421;0,0385625;0,0418375;null;0,0397;0,040475;0,039925;0,0344875;0,0353375;0,0352125;null;0,048533333;0,043575;0,0407125;0,0402875;0,042525;0,0392875;null;0,0412;0,0368875;
Запоріжжя;4793510;Формальдегiд;null;0,002966667;0,00475;0,005325;0,00515;0,0061;0,005825;null;0,007566667;0,0059;0,00625;0,005725;0,005925;0,00505;null;0,005966667;0,004875;0,00575;0,0071;0,006775;0,00565;null;0,005333333;0,00685;0,007125;0,005025;0,00655;0,004725;null;0,005066667;0,004575;
Івано-Франківськ;4892470;Завислі речовини;null;0,14;0,15;0,14;0,145;0,16;0,14;null;0,15;0,155;0,145;0,145;0,15;0,14;null;0,105;0,15;0,11;0,145;0,155;0,145;null;null;null;null;null;null;null;null;null;null;
Івано-Франківськ;4892470;Дiоксид сiрки;null;0,0015;0,00225;0,0172;0,0041;0,002625;0,00225;null;0,0015;0,001875;0,00225;0,003;0,00225;0,0015;null;0,0042;0,0027;0,002275;0,0019;0,00425;0,02155;null;null;null;null;null;null;null;null;null;null;
