city;coordinateNumber;nameImpurity;1August;2August;3August;4August;5August;6August;7August;8August;9August;10August;11August;12August;13August;14August;15August;16August;17August;18August;19August;20August;21August;22August;23August;24August;25August;26August;27August;28August;29August;30August;31August
Ужгород;4862230;Сульфати;0,0065;0,0085;0,0045;null;0,0055;0,003;0,0055;0,0105;0,011;0,0065;null;0,0035;0,0035;0,0065;0,006;0,0045;0,007;null;0,01;0,0075;0,0075;0,0105;0,0065;0,004;null;0,006;0,0065;0,005;0,0055;0,0095;0,0115
Ужгород;4862230;Оксид вуглецю;0,805;0,6225;0,7375;null;0,66;0,665;0,7025;0,7025;0,6775;0,7425;null;0,5975;0,7275;0,6475;0,71;0,7075;0,7375;null;0,65;0,665;0,613333333;0,575;0,765;0,895;null;0,875;0,725;0,7425;0,715;1,1775;0,805
Ужгород;4862230;Дiоксид азоту;0,057875;0,06075;0,047375;null;0,051625;0,0635;0,046125;0,10075;0,064625;0,052125;null;0,058625;0,04775;0,054;0,12875;0,11075;0,0665;null;0,046125;0,044625;0,058571429;0,06025;0,04325;0,06225;null;0,083875;0,056125;0,077;0,0845;0,08725;0,098875
Ужгород;4862230;Оксид азоту;0,03225;0,03675;0,02725;null;0,03375;0,05025;0,023;0,05875;0,036;0,051;null;0,0445;0,03525;0,0335;0,079;0,065;0,03675;null;0,0435;0,02675;0,029666667;0,037;0,0235;0,0345;null;0,04875;0,03075;0,04475;0,06425;0,0555;0,046
Ужгород;4862230;Формальдегiд;0,00725;0,00675;0,0075;null;0,00625;0,007;0,0055;0,008;0,0075;0,007875;null;0,009375;0,00675;0,009125;0,00625;0,00925;0,006;null;0,00575;0,00575;0,007857143;0,00625;0,007;0,00675;null;0,0075;0,00675;0,007125;0,0085;0,008375;0,00725
Запоріжжя;4793510;Завислі речовини;0,13;0,14;0,13;null;0,15;0,12;0,1;0,09;0,09;0,11;null;0,1;0,07;0,06;0,1;0,09;0,1;null;0,14;0,11;0,14;0,14;0,19;0,16;null;0,16;0,09;0,07;0,088888889;0,15;0,11
Запоріжжя;4793510;Дiоксид сiрки;0,006621429;0,006521429;0,006835714;null;0,006546154;0,005407143;0,005657143;0,006385714;0,007235714;0,007714286;null;0,006107692;0,006085714;0,006885714;0,007242857;0,007171429;0,005621429;null;0,007446154;0,007928571;0,0073;0,006842857;0,007214286;0,006314286;null;0,005930769;0,005785714;0,006278571;0,0061;0,007;0,0065
Запоріжжя;4793510;Сульфати;0,015;0,015;0,01;null;0,01;0,00595;0,0059;0,01;0,01;0,01;null;0,01;0,01;0,015;0,015;0,01;0,01;null;0,02;0,015;0,01;0,01;0,02;0,015;null;0,01;0,015;0,015;0,015;0,015;0,02
Запоріжжя;4793510;Оксид вуглецю;0,46;0,45;0,49;null;0,5;0,42;0,53;0,62;0,89;0,89;null;0,53;0,36;0,58;0,38;0,71;0,94;null;1,02;0,83;0,71;0,63;0,58;1,07;null;0,62;0,98;0,58;0,77;0,97;1,18
Запоріжжя;4793510;Дiоксид азоту;0,071992857;0,078671429;0,05995;null;0,087176923;0,102464286;0,086692857;0,069164286;0,078378571;0,061592857;null;0,065630769;0,071335714;0,070071429;0,0758;0,083978571;0,077164286;null;0,084738462;0,083135714;0,071242857;0,081164286;0,078471429;0,088828571;null;0,076130769;0,07625;0,073228571;0,092361538;0,09445;0,098071429
Запоріжжя;4793510;Оксид азоту;0,040266667;0,054733333;0,045466667;null;0,0611;0,0736;0,0595;0,042866667;0,049733333;0,051966667;null;0,0444;0,042133333;0,0372;0,042033333;0,0493;0,0401;null;0,059533333;0,057366667;0,043133333;0,048166667;0,052733333;0,057466667;null;0,049866667;0,042766667;0,059433333;0,06045;0,054533333;0,047233333
Запоріжжя;4793510;Сiрководень;0,003154545;0,003718182;0,003090909;null;0,003555556;0,003418182;0,003554545;0,003609091;0,003727273;0,003781818;null;0,002677778;0,002372727;0,002927273;0,003963636;0,003545455;0,002745455;null;0,003988889;0,004509091;0,003272727;0,003263636;0,0032;0,003327273;null;0,003233333;0,004609091;0,003609091;0,00421;0,004909091;0,004736364
Запоріжжя;4793510;Фенол;0,00514;0,00634;0,0067;null;0,007044444;0,00835;0,00733;0,00464;0,00558;0,00488;null;0,004755556;0,00579;0,00551;0,0056;0,00687;0,0058;null;0,007122222;0,00653;0,00565;0,00611;0,00689;0,00671;null;0,008033333;0,00666;0,00635;0,008488889;0,00818;0,00815
Запоріжжя;4793510;Фтористий водень;0;0;0;null;0,0006;0,0014;0,0016;0;0,000175;0;null;0;0;0,0004;0,00135;0;0;null;0,001133333;0,00075;0;0;0,000475;0;null;0;0,0003;0;0,000475;0,00035;0,00085
Запоріжжя;4793510;Хлористий водень;0,0364;0,0407125;0,0395375;null;0,048216667;0,05145;0,044775;0,048775;0,0377625;0,04045;null;0,0426;0,0414375;0,04645;0,041325;0,0401125;0,0403375;null;0,03795;0,0475375;0,0449625;0,0465;0,036825;0,0395375;null;0,0506;0,048725;0,0366125;0,0515375;0,07175;0,0526
Запоріжжя;4793510;Формальдегiд;0,005725;0,009525;0,00805;null;0,0085;0,010075;0,007825;0,0059;0,005725;0,005375;null;0,004333333;0,0053;0,00545;0,006475;0,006875;0,00585;null;0,007233333;0,00995;0,005775;0,00755;0,008425;0,008075;null;0,01;0,009225;0,01115;0,009033333;0,0113;0,007425
Івано-Франківськ;4892470;Завислі речовини;0,165;0,15;0,14;null;0,15;0,14;0,165;0,15;0,12;0,14;null;0,145;0,145;0,145;0,155;0,145;0,17;null;0,15;0,165;0,15;0,14;0,15;0,135;null;0,15;0,16;0,145;0,13;0,15;0,145
Івано-Франківськ;4892470;Дiоксид сiрки;0,0016;0,00165;0,002;null;0,0024;0,0024;0,00205;0,0032;0,00285;0,00325;null;0,00205;0,00285;0,0036;0,00365;0,0131;0,00365;null;0,003275;0,0041;0,0041;0,0048;0,0044;0,0048;null;0,00565;0,004866667;0,005433333;0,0033;0,0037;0,00565
Івано-Франківськ;4892470;Оксид вуглецю;1,95;2;1,8;null;2,3;1,9;2,85;1,95;1,65;1,85;null;1,8;2,15;1,8;2,1;2,3;1,75;null;1,95;2,3;2,4;1,7;1,95;1,6;null;2,3;2,1;1,95;1,5;2,1;2
Івано-Франківськ;4892470;Дiоксид азоту;0,03815;0,043025;0,027525;null;0,0438;0,04665;0,042475;0,030825;0,036525;0,036625;null;0,0467;0,036375;0,050575;0,049725;0,06225;0,0898;null;0,06385;0,061975;0,055475;0,040725;0,047975;0,053875;null;0,06555;0,071233333;0,064;0,04645;0,042666667;0,05285
Івано-Франківськ;4892470;Оксид азоту;0,02555;0,02935;0,019875;null;0,0235;0,03105;0,0282;0,022225;0,0261;0,026575;null;0,03035;0,024825;0,03345;0,0326;0,040625;0,058175;null;0,042;0,0401;0,0365;0,026725;0,03185;0,0351;null;0,043;0,044933333;0,042133333;0,0322;0,030166667;0,03455
Дніпро;4863510;Завислі речовини;0,275;0,2875;0,25;null;0,2375;0,2625;0,2625;0,25;0,2625;0,2;null;0,2125;0,225;0,3;0,225;0,2625;0,25;null;0,3125;0,3;0,3375;0,3875;0,3375;0,3;null;0,3375;0,3125;0,2875;0,3;0,25;0,2375
Дніпро;4863510;Дiоксид сiрки;0,010208333;0,013833333;0,008125;null;0,012055556;0,011625;0,018291667;0,017375;0,014083333;0,014458333;null;0,025333333;0,018458333;0,021;0,013833333;0,011083333;0,006208333;null;0,011888889;0,013083333;0,012;0,011583333;0,02;0,016083333;null;0,009944444;0,010125;0,009875;0,008619048;0,008181818;0,010333333
Дніпро;4863510;Оксид вуглецю;2;1,916666667;1,833333333;null;2,416666667;1,833333333;1,916666667;2,833333333;2,5;2;null;2,166666667;2,5;1,916666667;2,5;2,333333333;1,75;null;2,333333333;2,083333333;2,666666667;2,833333333;2,833333333;2,166666667;null;2,583333333;2,75;2,416666667;2,818181818;2,833333333;2,416666667
Дніпро;4863510;Дiоксид азоту;0,056666667;0,066666667;0,059583333;null;0,067777778;0,062083333;0,079166667;0,065833333;0,073333333;0,060833333;null;0,066666667;0,066666667;0,065416667;0,065416667;0,07375;0,07;null;0,114444444;0,1375;0,136666667;0,1075;0,080416667;0,077083333;null;0,092222222;0,0675;0,087083333;0,09952381;0,086818182;0,0975
Дніпро;4863510;Оксид азоту;0,03;0,0275;0,03;null;0,036666667;0,04;0,0375;0,035;0,035;0,0325;null;0,03;0,04;0,0475;0,0325;0,0375;0,045;null;0,066666667;0,06;0,0475;0,0475;0,0525;0,04;null;0,053333333;0,04;0,0475;0,053333333;0,045;0,06
Дніпро;4863510;Сiрководень;0,001666667;0,002541667;0,001666667;null;0,004;0,005708333;0,003;0,004166667;0,002666667;0,002791667;null;0,003555556;0,003208333;0,004666667;0,004125;0,002875;0,001291667;null;0,002;0,004375;0,004125;0,0035;0,003125;0,003083333;null;0,0025;0,002583333;0,002125;0,003904762;0,003;0,003166667
Дніпро;4863510;Фенол;0,002083333;0,001916667;0,001333333;null;0,002777778;0,00225;0,001833333;0,00325;0,002333333;0,00225;null;0,002777778;0,00325;0,0025;0,00275;0,001666667;0,001833333;null;0,002666667;0,004083333;0,00225;0,002083333;0,002583333;0,002166667;null;0,002333333;0,0025;0,003583333;0,002272727;0,003;0,0035
Дніпро;4863510;Амiак;0,05;0,0525;0,04625;null;0,051666667;0,0525;0,0525;0,06;0,0675;0,05125;null;0,058333333;0,05375;0,04625;0,05375;0,05375;0,045;null;0,058333333;0,0675;0,055;0,07125;0,0625;0,05375;null;0,068333333;0,06125;0,05625;0,048571429;0,0425;0,03875
Дніпро;4863510;Формальдегiд;0,016083333;0,018833333;0,018666667;null;0,018888889;0,019166667;0,018666667;0,020083333;0,020333333;0,018083333;null;0,020888889;0,019083333;0,017416667;0,020333333;0,021166667;0,019333333;null;0,025444444;0,022416667;0,023166667;0,0235;0,02175;0,0245;null;0,024444444;0,0225;0,023916667;0,024727273;0,023083333;0,024666667
