city;coordinateNumber;nameImpurity;1March;2March;4March;5March;6March;7March;8March;9March;11March;12March;13March;14March;15March;16March;18March;19March;20March;21March;22March;23March;25March;26March;27March;28March;29March;30March
Дніпро;4863510;Формальдегiд;0,010833333;0,009666667;0,011555556;0,008666667;0,009;0,008583333;0,008666667;0,009;0,009;0,009916667;0,010333333;0,008833333;0,009083333;0,007833333;0,011444444;0,009916667;0,01;0,0095;0,008916667;0,009;0,010222222;0,011583333;0,010583333;0,0095;0,01125;0,011583333
Кривий Ріг;4793340;Завислі речовини;0,41;0,32;0,38;0,4;0,3;0,34;0,23;0,3;0,36;0,3615;0,2412;0,13;0;0,18;0,18;0,36;0;0,01;0,27;0,36;0,16;0;0,22;0,3;0,53;0,43
Кривий Ріг;4793340;Дiоксид сiрки;0,027538462;0,028153846;0,0248;0,023461538;0,023769231;0,028;0,020923077;0,024307692;0,027;0,021153846;0,015923077;0,021153846;0,017923077;0,021307692;0,0163;0,019076923;0,002461538;0,005461538;0,018615385;0,033769231;0,0258;0,007;0,018923077;0,031846154;0,027615385;0,025769231
Кривий Ріг;4793340;Оксид вуглецю;1,7;1,6;1,5;1,6;1,8;1;0,9;1,4;1,3;1,4;1,1;1,2;1,3;1;1,4;1;1,2;1,2;1,2;1,7;1,3;1;1;1,5;1,2;1,8
Кривий Ріг;4793340;Дiоксид азоту;0,024615385;0,020769231;0,035;0,029230769;0,026153846;0,029230769;0,023076923;0,026153846;0,052;0,037692308;0,029230769;0,035384615;0,031538462;0,022307692;0,071;0,053076923;0,023076923;0,041538462;0,026923077;0,042307692;0,07;0,018769231;0,019230769;0,033076923;0,034615385;0,031538462
Кривий Ріг;4793340;Оксид азоту;0,013333333;0,01;0,02;0,016666667;0,01;0,016666667;0,016666667;0,013333333;0,035;0,023333333;0,043333333;0,023333333;0,016666667;0,013333333;0,04;0,033333333;0,013333333;0,026666667;0,02;0,03;0,025;0,013333333;0,006666667;0,016666667;0,013333333;0,023333333
Кривий Ріг;4793340;Сiрководень;0,001;0,001;0,0016;0,0009;0,0008;0,0009;0,0006;0,0015;0,0018;0,0015;0,0014;0,0008;0,0011;0,001;0,0016;0,0013;0,0008;0,0009;0,0011;0,0015;0,0013;0,0007;0,0009;0,0022;0,0011;0,0014
Кривий Ріг;4793340;Фенол;0,0021;0,0019;0,0036;0,00345;0,002;0,00165;0,0015;0,00185;0,001866667;0,00195;0,00165;0,00155;0,0019;0,00175;0,002933333;0,00205;0,00115;0,00185;0,00275;0,0026;0,002266667;0,0012;0,00155;0,0027;0,0021;0,00215
Кривий Ріг;4793340;Амiак;0,01;0,01;0,012666667;0,0105;0,0075;0,007;0,01;0,0105;0,01;0,0105;0,0105;0,009;0,0095;0,01;0,010666667;0,01;0,009;0,0085;0,0105;0,0115;0,012;0,009;0,01;0,0105;0,01;0,0085
Кривий Ріг;4793340;Формальдегiд;0,00735;0,00755;0,014133333;0,0142;0,01135;0,009655;0,00775;0,00945;0,008466667;0,00965;0,00765;0,0071;0,0076;0,00915;0,014266667;0,0102;0,0055;0,00745;0,0105;0,01105;0,008466667;0,0069;0,00915;0,01275;0,0123;0,01415
Кам'янське;4853460;Завислі речовини;0,272075;0,221;0,25;0,290075;0,2751;0,2734375;0,2475;0,222725;0,2439;0,2746;0,2599875;0,1359125;0,1273375;0,236975;0,1422375;0,058475;0,13045;0,194525;0,29435;0,29795;0,330825;0,259;0,2903;0,3631;0,2483;0,1993
Кам'янське;4853460;Дiоксид сiрки;0,0062;0,0059;0,005175;0,00535;0,0060625;0,0066625;0,0064625;0,006275;0,0067375;0,00725;0,0090875;0,006275;0,005475;0,0057;0,00565;0,0053375;0,005225;0,006975;0,005925;0,0074;0,00785;0,00685;0,0077;0,00725;0,007875;0,006
Кам'янське;4853460;Оксид вуглецю;2,75;2,5;2,25;2,5;3;2,875;3,25;3,125;3,125;3,5;3,125;3,25;3,25;2,875;3,25;2,875;3,25;3,25;3,5;3,5;3,25;3,25;3,5;4;3,25;4
Кам'янське;4853460;Дiоксид азоту;0,1011875;0,0858125;0,1717;0,0953875;0,099075;0,063475;0,0819125;0,08524375;0,101558333;0,105125;0,1528;0,0975125;0,09103125;0,09541875;0,134966667;0,09856875;0,0988375;0,109675;0,112225;0,12155;0,09865;0,062475;0,0683;0,0882375;0,1085375;0,0906
Кам'янське;4853460;Оксид азоту;null;null;null;null;0,04845;0,0364;0,041125;0,043675;0,053666667;0,04165;0,061925;0,043875;0,04845;0,042;0,051933333;0,0516;0,04255;0,0551;0,05105;0,0548;0,051566667;0,046575;0,0317;0,041375;0,042075;0,042175
Кам'янське;4853460;Сiрководень;0,004228571;0,003642857;0,00368;0,0059;0,005773333;0,004246667;0,004986667;0,00464;0,004527273;0,00396;0,004673333;0,003873333;0,00432;0,00466;0,003372727;0,00314;0,004;0,00445;0,0043875;0,003475;0,009116667;0,005525;0,003425;0,0042375;0,004875;0,004375
