city;coordinateNumber;nameImpurity;1April;2April;3April;4April;5April;6April;8April;9April;10April;11April;12April;13April;15April;16April;17April;18April;19April;20April;22April;23April;24April;25April;26April;27April;29April;30April
Рівне;5062620;Формальдегiд;0,0063;0,0061375;0;0,001716667;0,004066667;0,0005;0,0079;0,002025;0,00175;0,0066875;0,0041125;0,00235;0,0058;0,0094375;0,007475;0,0161125;0;0,0007875;0,001457143;0,0032125;0,00695;0,008275;0,0083375;0,013475;0,008871429;0,003825
Суми;5093480;Завислі речовини;0,283333333;0,366666667;0,233333333;0,283333333;0,383333333;0,333333333;0,333333333;0,333333333;0,316666667;0,333333333;0,283333333;0,316666667;0,266666667;0,3;0,266666667;0,3;0,25;0,25;0,25;0,3;0,233333333;0,333333333;0,316666667;0,25;0,233333333;0,316666667
Суми;5093480;Дiоксид сiрки;0,041777778;0,046416667;0,04225;0,040583333;0,045416667;0,032166667;0,030666667;0,037416667;0,047083333;0,041666667;0,041916667;0,039833333;0,041555556;0,037583333;0,038166667;0,035833333;0,034;0,030833333;0,037555556;0,0325;0,039166667;0,036083333;0,037416667;0,033083333;0,037333333;0,047416667
Суми;5093480;Сульфати;0,015;0,025;0,03;0,025;0,02;0,015;0,005;0,025;0,02;0,025;0,03;0,01;0,02;0,015;0,02;0,005;0,015;0,005;0,02;0,015;0,02;0,015;0,01;0,005;0,02;0,015
Суми;5093480;Оксид вуглецю;1,666666667;2;1,666666667;1,833333333;1,833333333;1,5;2,166666667;1,666666667;1,833333333;2,166666667;2,166666667;1,833333333;1,833333333;1,666666667;1,333333333;2,166666667;2;2;1,833333333;1,5;1,5;2,166666667;2,333333333;1,833333333;1,666666667;1,833333333
Суми;5093480;Дiоксид азоту;0,091111111;0,1025;0,0775;0,0825;0,055;0,066666667;0,08;0,078333333;0,12;0,0975;0,1275;0,1125;0,108888889;0,100833333;0,090833333;0,1175;0,086666667;0,089166667;0,078888889;0,08;0,090833333;0,085833333;0,0875;0,084166667;0,086666667;0,075
Суми;5093480;Оксид азоту;0,04;0,0525;0,0375;0,04;0,0225;0,0275;0,043333333;0,0325;0,045;0,05;0,0625;0,0775;0,056666667;0,05;0,045;0,055;0,0375;0,035;0,026666667;0,035;0,0475;0,0325;0,0425;0,0325;0,04;0,04
Суми;5093480;Амiак;0,018333333;0,02;0,01875;0,01875;0,0175;0,0175;0,013333333;0,01875;0,01625;0,015;0,01625;0,01625;0,013333333;0,015;0,01625;0,015;0,01125;0,01375;0,013333333;0,015;0,01375;0,01375;0,01375;0,01375;0,016666667;0,015
Суми;5093480;Формальдегiд;0,007;0,005;0,003;0,003;0,005;0,005;0,002666667;0,003;0,00625;0,004;0,003;0,003;0,004;0,004;0,004;0,004;0,001;0,003;0,005333333;0,003;0,004;0,003;0,003;0,003;0,004;0,003
Тернопіль;4932530;Завислі речовини;0,17;0,2225;0,145;0,135;0,1375;0,075;0,1;0,15;0,1875;0,1525;0,11;0,145;0;0;0,01;0;0,055;0,055;0,0275;0,02;0,02;0,04;0,0625;0,055;0,08;0,0725
