city;coordinateNumber;nameImpurity;1May;2May;3May;4May;6May;7May;8May;9May;10May;11May;13May;14May;15May;16May;17May;18May;20May;21May;22May;23May;24May;25May;27May;28May;29May;30May;31May
Ужгород;4862230;Оксид вуглецю;0,7075;0,8875;0,8525;0,7675;0,67;0,6825;0,655;0,5925;0,7525;0,715;0,605;0,685;0,64;0,673333333;0,6475;0,8025;0,8375;0,755;0,6525;0,7975;0,76;0,7125;0,745;0,705;0,725;0,795;0,8825
Ужгород;4862230;Дiоксид азоту;0,098375;0,113625;0,065375;0,0655;0,11875;0,0995;0,05;0,062375;0,066375;0,08825;0,07725;0,052625;0,054625;0,053714286;0,0795;0,100375;0,116125;0,0635;0,056125;0,064875;0,04975;0,068125;0,07375;0,05025;0,06725;0,061125;0,050625
Ужгород;4862230;Оксид азоту;0,08025;0,08925;0,039;0,04175;0,075;0,0485;0,03025;0,04825;0,0425;0,05425;0,04025;0,0275;0,034;0,02925;0,0375;0,05775;0,093;0,036;0,033;0,045;0,0375;0,037;0,04;0,0285;0,03525;0,03825;0,024
Ужгород;4862230;Формальдегiд;0,008375;0,010125;0,00875;0,010125;0,009;0,008625;0,00675;0,006;0,006;0,00775;0,00675;0,00825;0,007375;0,006;0,0075;0,009;0,008375;0,006375;0,007625;0,007125;0,006;0,007;0,0065;0,00525;0,006;0,006;0,005375
Запоріжжя;4793510;Завислі речовини;0,11;0,09;0,09;0,18;0,19;0,21;0,233333333;0,12;0,17;0,09;0,07;0,2;0,19;0,09;0,18;0,09;0,12;0,15;0,11;0,07;0,1;0,19;0,12;0,16;0,11;0,06;0,1
Запоріжжя;4793510;Дiоксид сiрки;0,006042857;0,006078571;0,007235714;0,007071429;0,006407692;0,006264286;0,005715385;0,006035714;0,005135714;0,00595;0,005246154;0,005907143;0,006528571;0,006285714;0,006571429;0,005228571;0,007184615;0,007214286;0,005657143;0,008014286;0,007835714;0,008207143;0,007376923;0,009164286;0,006428571;0,006307143;0,007035714
Запоріжжя;4793510;Сульфати;0,01;0,01;0,01;0,02;0,01;0,01;0,015;0,01;0,01;0,02;0,005;0,015;0,015;0,015;0,01;0,01;0,01;0,015;0,01;0,015;0,01;0,02;0,015;0,03;0,015;0,01;0,015
Запоріжжя;4793510;Оксид вуглецю;0,24;0,24;0,36;0,48;0,39;0,18;0,18;0,24;0,31;0,33;0,33;0,36;0,46;0,34;0,4;0,51;0,41;0,51;0,47;0,53;0,45;0,51;0,47;0,62;0,35;0,37;0,85
Запоріжжя;4793510;Дiоксид азоту;0,075757143;0,065328571;0,071585714;0,062357143;0,059723077;0,076142857;0,078038462;0,06375;0,077442857;0,070021429;0,074246154;0,08455;0,081078571;0,076721429;0,078257143;0,079885714;0,078692308;0,059492857;0,052178571;0,067328571;0,069307143;0,082114286;0,077115385;0,092528571;0,065571429;0,039221429;0,055657143
Запоріжжя;4793510;Оксид азоту;0,034266667;0,048266667;0,0558;0,045433333;0,036766667;0,0767;0,074233333;0,033666667;0,065166667;0,047266667;0,042633333;0,060366667;0,053833333;0,040433333;0,054533333;0,0645;0,043566667;0,048666667;0,0303;0,039866667;0,046533333;0,0596;0,052433333;0,053466667;0,048966667;0,0552;0,039833333
