city;coordinateNumber;nameImpurity;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;;;
Запоріжжя;4793510;Сульфати;0,015;null;0,005;0,01;0,01;0,02;0,025;0,015;null;0,025;0,02;0,015;0,015;0,01;0,015;null;0,01;0,025;0,025;0,015;0,02;0,025;null;0,01;0,015;0,015;0,015;0,025;;;
Запоріжжя;4793510;Оксид вуглецю;0,43;null;0,5;0,5;0,49;0,45;0,42;0,31;null;0,51;0,49;0,52;0,83;0,36;0,37;null;0,55;0,52;0,45;0,46;0,46;0,39;null;0,46;0,39;0,59;0,66;0,72;;;
Запоріжжя;4793510;Дiоксид азоту;0,065314286;null;0,064976923;0,052964286;0,057585714;0,086107143;0,082978571;0,087014286;null;0,078938462;0,090471429;0,083292857;0,072921429;0,054907143;0,057542857;null;0,060769231;0,0808;0,09375;0,069964286;0,093885714;0,077235714;null;0,074669231;0,069614286;0,076021429;0,070285714;0,102107143;;;
Запоріжжя;4793510;Оксид азоту;0,0455;null;0,038633333;0,029933333;0,036566667;0,053566667;0,068333333;0,0639;null;0,0644;0,055766667;0,059433333;0,051633333;0,0345;0,047866667;null;0,0324;0,0517;0,068933333;0,049566667;0,0642;0,047;null;0,044833333;0,0411;0,045366667;0,0535;0,064433333;;;
Запоріжжя;4793510;Сiрководень;0,002454545;null;0,002466667;0,002836364;0,003218182;0,0052;0,004327273;0,003527273;null;0,003733333;0,003763636;0,003436364;0,003163636;0,003109091;0,002918182;null;0,0028;0,003054545;0,002945455;0,003;0,003818182;0,003327273;null;0,003566667;0,003054545;0,003436364;0,002836364;0,004254545;;;
Запоріжжя;4793510;Фенол;0,00545;null;0,004088889;0,00592;0,00548;0,00699;0,00728;0,00712;null;0,007044444;0,00771;0,00732;0,00622;0,00526;0,00579;null;0,006133333;0,00777;0,00576;0,00468;0,00552;0,00656;null;0,006611111;0,00626;0,00658;0,00722;0,00747;;;
Запоріжжя;4793510;Фтористий водень;0;null;0;0;0;0,0008;0,00055;0,0004;null;0,000533333;0,0006;0,0004;0,00015;0;0;null;0;0,00055;0;0;0,0004;0,00045;null;0;0;0,00025;0;0,0004;;;
Запоріжжя;4793510;Хлористий водень;0,042125;null;0,0392;0,03785;0,038125;0,046575;0,05005;0,0450375;null;0,05395;0,047775;0,04495;0,0407;0,035775;0,0408625;null;0,04115;0,0381875;0,0455375;0,0369375;0,0440125;0,0378125;null;0,042266667;0,0371375;0,049425;0,039175;0,0540125;;;
Запоріжжя;4793510;Формальдегiд;0,006375;null;0,005866667;0,00595;0,00645;0,0066;0,006875;0,004675;null;0,005633333;0,006275;0,006375;0,004275;0,0049;0,0056;null;0,0057;0,006175;0,005525;0,006475;0,004225;0,00595;null;0,005633333;0,0068;0,00585;0,0063;0,00615;;;
Івано-Франківськ;4892470;Завислі речовини;0,14;null;0,135;0,11;0,145;0,13;0,14;0,15;null;0,135;0,115;0,105;0,165;0,15;0,15;null;0,11;0,11;0,15;0,11;0,14;0,175;null;0,15;0,14;0,155;0,145;0,145;;;
Івано-Франківськ;4892470;Дiоксид сiрки;0,013825;null;0,006;0,004075;0,005925;0,00485;0,00595;0,00705;null;0,003375;0,004125;0,003;0,003;0,00225;0,0053;null;0,00525;0,004125;0,006;0,007125;0,0045;0,004875;null;0,002625;0,004125;0,0034;0,00375;0,003375;;;
