city;coordinateNumber;nameImpurity;1July;2July;3July;4July;5July;6July;8July;9July;10July;11July;12July;13July;15July;16July;17July;18July;19July;20July;22July;23July;24July;25July;26July;27July;29July;31July;30July;
Київ;5053050;Формальдегiд;0,004540625;0,00446129;0,003817241;0,003988571;0,0040625;0,004409091;0,005188889;0,005608571;0,005908333;0,0063;0,006369697;0,006685294;0,0066;0,007075758;0,006917143;0,005266667;0,004672727;0,005902439;0,006045946;0,005120513;0,005485;0,004841463;0,004320455;0,004488095;0,003306667;0,002844444;0,003586957;
Вінниця;4922860;Завислі речовини;0,225;0,775;0,125;0,3;0,3;0,35;0,225;0,3;0;0,075;0,225;0,25;0;0;0;0;0,075;0,075;0;0;0;0,275;0,275;0,325;0,175;0,15;0,25;
Вінниця;4922860;Дiоксид сiрки;0,00115;0,001375;0;0,000275;0,00055;0,000275;0;0;0,00055;0,0002875;0,00085;0,0014375;0,00085;0,000275;0,00055;0,000275;0,0011125;0,0008375;0;0,0011125;0,000825;0;0;0;0,000275;0,000275;0,00055;
Вінниця;4922860;Оксид вуглецю;0,766666667;0,7;1,3;0,65;0,9;0,7;0,8;0,95;0,675;0,775;0,85;0,8;0,8;0,825;0,9;0,9;0,9;1,025;1,225;0,925;0,9;0,875;0,75;0,85;0,7;0,775;0,9;
Вінниця;4922860;Дiоксид азоту;0,0600625;0,035675;0,04405;0,050675;0,0670875;0,0239875;0,058725;0,0638;0,0425;0,093075;0,0754625;0,06005;0,0442625;0,076875;0,0309125;0,0370375;0,05475;0,04225;0,070575;0,0320125;0,064925;0,0420125;0,048075;0,03805;0,035275;0,0350125;0,027825;
Вінниця;4922860;Фтористий водень;0,006175;0,0127125;0,0038625;0,0075625;0,0041875;0,0185125;0,0060875;0;0,0134375;0,0077375;0,005075;0,01765;0,0066625;0,00695;0,0089;0,0110875;0,0068625;0,0087875;0,0142;0,003525;0,01755;0,0125625;0,0019;0,00915;0,0109375;0,002275;0,0151875;
Вінниця;4922860;Амiак;0,008;0,003825;0,00575;0,0076;0;0,01705;0,013375;0,01175;0,0231;0,015525;0,003975;0,015775;0,005725;0,007825;0,00775;0,00965;0,003875;0,015325;0,0038;0;0,015275;0,00385;0;0,003875;0;0,005675;0,003875;
Вінниця;4922860;Формальдегiд;0,007475;0,016875;0,005375;0,01865;0,0114;0,008275;0,011475;0,005325;0;0,007475;0,007475;0,005425;0,0138;0,0075;0,00635;0,0147;0,00415;0,00315;0,013675;0,0032;0,005225;0,004175;0;0,00315;0,013425;0,016375;0,011475;
Луцьк;5082530;Завислі речовини;;;;;;;;;;0,083333333;0,083333333;0,066666667;0,083333333;0,1;0,033333333;0,05;0,1;0,05;0,066666667;0,066666667;0,083333333;0,05;0,05;0,033333333;0,083333333;0,033333333;0,1;
Луцьк;5082530;Дiоксид сiрки;;;;;;;;;;0,002108333;0,003208333;0,004025;0,003025;0,002508333;0,002916667;0,002658333;0,001633333;0,001625;0,0026;0,002066667;0,002741667;0,002358333;0,00255;0,001375;0,0025;0,002933333;0,003233333;
Луцьк;5082530;Сульфати;;;;;;;;;;0,005;0,005;0,01;0,005;0,01;0,01;0,005;0,01;0,01;0,01;0,01;0,005;0,005;0;0;0,005;0,01;0,01;
