city;coordinateNumber;nameImpurity;1June;3June;4June;5June;6June;7June;8June;10June;11June;12June;13June;14June;15June;17June;18June;19June;20June;21June;22June;24June;25June;26June;27June;28June;29June
Рівне;5062620;Оксид вуглецю;0,935;0,966666667;0,758333333;0,6;0,893333333;1,185;1,186666667;1,118333333;1,016666667;0,95;0,993333333;1,201666667;1,091666667;1,001666667;1,123333333;1,081666667;0,948333333;1,131666667;1,245;1,021666667;0,971666667;1,068333333;1,135;1,318333333;1,436666667
Рівне;5062620;Дiоксид азоту;0,017375;0,043475;0,047791667;0,034058333;0,071975;0,076583333;0,029375;0,054491667;0,0399;0,021533333;0,0485;0,040616667;0,040633333;0,05335;0,031416667;0,024972727;0,017025;0,034525;0,039463636;0,039666667;0,012058333;0,019583333;0,031491667;0,030516667;0,042616667
Рівне;5062620;Оксид азоту;0,00066;0,049433333;0,06324;0,02578;0,02273;0,03405;0,01124;0,029788889;0,02445;0,01721;0,03655;0,02301;0,02123;0,008277778;0,0184;0,040166667;0,02008;0,01509;0,003188889;0;0,00745;0,01481;0,01566;0,00971;0,00422
Рівне;5062620;Сiрководень;0;0;0,002275;0,00085;0;0,0012;0,00095;0,002014286;0,001425;0,003825;0,0022625;0,00165;0;0;0,0034375;0,0017;0,000825;0,0004625;0;0,001314286;0,0033;0,0006625;0,0007375;0,0018125;0
Рівне;5062620;Фенол;0,00075;0;0,00263;0,00513;0,00343;0,001;0;0;0,0021;0,002;0,00159;0,0012;0;0,00341;0,00317;0;0,00035;0,00221;0,002144444;0;0;0,00098;0,00029;0,00063;0,0012
Рівне;5062620;Фтористий водень;0,0018125;0,001028571;0,001175;0,0047;0,0022;0,0010375;0,0018625;0,0017;0,0010875;0,0002625;0,0005625;0,0016375;0,0006375;0,000257143;0,001375;0;0,0006375;0,0011875;0,004642857;0,002385714;0,003425;0,0027;0,0003125;0,0030375;0,0063625
Рівне;5062620;Хлористий водень;0,0173;0,041825;0,0701125;0,06175;0,0462875;0,0245375;0,032;0,13265;0,096125;0,043475;0;0,0514375;0,0934125;0,0620125;0,0306;0,076842857;0,0919375;0,0735875;0,088714286;0,038875;0,0946875;0,15305;0,0322;0,0594625;0,113825
Рівне;5062620;Амiак;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,003;0;0;0;0;0;0;0
Рівне;5062620;Формальдегiд;0,0045375;0,001271429;0,004825;0,0126625;0,0117625;0,0147;0,012275;0,012185714;0,0127125;0,0095875;0,0127125;0,0060625;0,002725;0,011271429;0,0133;0,009228571;0,0110625;0,0082375;0,011357143;0,008214286;0,007725;0,0117875;0,00665;0,006975;0,00365
Суми;5093480;Завислі речовини;0,433333333;0,316666667;0,333333333;0,233333333;0,366666667;0,25;0,3;0,283333333;0,316666667;0,316666667;0,216666667;0,283333333;0,183333333;0,283333333;0,3;0,316666667;0,283333333;0,316666667;0,266666667;0,316666667;0,266666667;0,316666667;0,266666667;0,316666667;0,283333333
Суми;5093480;Дiоксид сiрки;0,06125;0,053222222;0,055583333;0,055083333;0,061583333;0,06125;0,062666667;0,055555556;0,05925;0,055083333;0,052666667;0,051833333;0,05475;0,052555556;0,054083333;0,058083333;0,051083333;0,054583333;0,056583333;0,051666667;0,047583333;0,0495;0,057166667;0,063083333;0,058583333
Суми;5093480;Сульфати;0,025;0,02;0,03;0,01;0,025;0,03;0,03;0,015;0,03;0,015;0,02;0,015;0,015;0,015;0,015;0,015;0,01;0,02;0,015;0,015;0,015;0,02;0,02;0,02;0,01
Суми;5093480;Оксид вуглецю;2,166666667;1,333333333;2;1,333333333;2;1,666666667;2,166666667;1,333333333;1,333333333;1,666666667;1,5;1,333333333;1,666666667;2;1,166666667;1,5;1,333333333;2,166666667;1,833333333;1,333333333;1,5;1,833333333;1,666666667;2;1,666666667
Суми;5093480;Дiоксид азоту;0,068333333;0,103333333;0,110833333;0,081666667;0,0925;0,059166667;0,065;0,092222222;0,091666667;0,084166667;0,0725;0,070833333;0,0725;0,07;0,0675;0,073333333;0,085833333;0,065833333;0,081666667;0,084444444;0,069166667;0,079166667;0,0875;0,083333333;0,095
Суми;5093480;Оксид азоту;0,0325;0,06;0,055;0,04;0,045;0,025;0,03;0,036666667;0,0375;0,04;0,04;0,035;0,0325;0,04;0,035;0,0425;0,0425;0,03;0,04;0,04;0,03;0,035;0,0525;0,0375;0,05
Суми;5093480;Амiак;0,02;0,013333333;0,01625;0,01625;0,01375;0,01875;0,02;0,018333333;0,0175;0,01875;0,01;0,01125;0,01;0,01;0,01375;0,01625;0,01125;0,0125;0,0125;0,011666667;0,01625;0,02;0,015;0,02;0,01875
Суми;5093480;Формальдегiд;0,004;0,005333333;0,00525;0,003;0,004;0,004;0,002;0,008333333;0,00325;0,00525;0,003;0,005;0,003;0,004;0,00525;0,005;0,00525;0,004;0,00625;0,004;0,00525;0,004;0,005;0,00625;0,006
Тернопіль;4932530;Завислі речовини;null;0,12;0,02;0,0675;0,15;0,15;0,0275;0,035;0,045;0,045;0,055;0;0,065;0,145;0,215;0,14;0,1575;0,1875;0,075;0,08;0,085;0,13;0,16;0,13;0,065
Тернопіль;4932530;Дiоксид сiрки;null;0,0041625;0,0033;0,004125;0,0058375;0,0043875;0,0020625;0,0027875;0,002125;0,0025125;0,003425;0,00205;0,0045875;0,0046125;0,0044125;0,0054625;0,0057625;0,0068;0,004425;0,0060125;0,0045875;0,0051125;0,0063625;0,0073125;0,004
Тернопіль;4932530;Оксид вуглецю;null;3,2;3,275;2,85;2,575;2,95;2,725;2,825;3,15;2,65;3,475;3,05;2,95;2,15;3,05;2,8;2,525;2,8;2,3;2,55;2,8;3,375;2,9;2,55;2,3
Тернопіль;4932530;Дiоксид азоту;null;0,0476;0,0417875;0,040375;0,044975;0,0443625;0,053775;0,048;0,0482125;0,0407375;0,0407875;0,048;0,051;0,05795;0,0580375;0,055825;0,0511875;0,045725;0,0405;0,056925;0,054325;0,0485625;0,0531;0,0509375;0,0454375
Тернопіль;4932530;Оксид азоту;null;0,0259;0,022575;0,022725;0,024425;0,0248;0,0294;0,026075;0,0262;0,0212;0,022;0,02595;0,027625;0,0326;0,03265;0,030875;0,029475;0,0251;0,0212;0,03195;0,029775;0,0265;0,02935;0,027425;0,024375
Тернопіль;4932530;Формальдегiд;null;0,002475;0,0019375;0,002475;0,0028375;0,0025875;0,001575;0,001825;0,001575;0,0019125;0,001675;0,001225;0,0028;0,0034;0,0028125;0,0026375;0,0039125;0,00375;0,001825;0,0030375;0,0028125;0,002825;0,00275;0,0039;0,00205
Харків;4993630;Завислі речовини;0,094;0,1072;0,1144;0,0848;0,0816;0,0792;0,0928;0,115909091;0,098181818;0,082727273;0,073181818;0,094090909;0,052272727;0,0736;0,0796;0,0744;0,0792;0,0776;0,092;0,085;0,084545455;0,064090909;0,069090909;0,096818182;0,078636364
Харків;4993630;Дiоксид сiрки;0,01218;0,012036667;0,010486667;0,01138;0,0115;0,01074;0,010956667;0,011477778;0,011503704;0,013022222;0,01327037;0,011685185;0,01127037;0,01026;0,011143333;0,011163333;0,011933333;0,01269;0,011373333;0,00957037;0,014948148;0,014314815;0,013207407;0,014959259;0,011237037
Харків;4993630;Сульфати;0,01;0;0,005;0;0,01;0;0,01;0;0;0,005;0,01;0,005;0;0;0,01;0;0,005;0,01;0,005;0;0;0,005;0,01;0;0
Харків;4993630;Оксид вуглецю;1,275;1,35;1,455;1,44;1,37;1,34;1,325;1,461111111;1,283333333;1,327777778;1,294444444;1,261111111;1,111111111;1,265;1,27;1,39;1,235;1,27;1,3;1,388888889;1,272222222;1,283333333;1,366666667;1,411111111;1,327777778
Харків;4993630;Дiоксид азоту;0,028985714;0,02788;0,02498;0,030534286;0,025477143;0,025977143;0,030317143;0,024248148;0,028570968;0,026645161;0,024316129;0,023909677;0,021580645;0,03241;0,041591429;0,0365;0,034388571;0,03498;0,032345714;0,036677778;0,030109677;0,030929032;0,030874194;0,030348387;0,032441935
Харків;4993630;Оксид азоту;0,0251;0,0258;0,030075;0,026225;0,0287;0,025275;0,022025;0,0188;0,021275;0,018175;0,01895;0,020525;0,020075;0,017066667;0,02575;0,02225;0,030275;0,0222;0,020875;0,028066667;0,024075;0,020225;0,023625;0,027325;0,0228
Харків;4993630;Сiрководень;0,00095;0,001433333;0,0022;0,0015;0,001675;0,0025;0,001375;0,001433333;0,00165;0,001225;0,0014;0,001525;0,0013;0,000966667;0,0018;0,001;0,00145;0,001575;0,001575;0,0017;0,00135;0,001125;0,001725;0,001875;0,001375
Харків;4993630;Фенол;0,002675;0,002755556;0,002658333;0,003016667;0,00265;0,003058333;0,002533333;0,002933333;0,00295;0,002775;0,0028125;0,0028625;0,003125;0,002355556;0,002383333;0,002458333;0,0028;0,002483333;0,002133333;0,001611111;0,002283333;0,002175;0,002375;0,002358333;0,002191667
Харків;4993630;Сажа;0,01;0,036666667;0,02;0,043333333;0,02;0,02;0,03;0,036666667;0,02;0,026666667;0,03;0,033333333;0,02;0,036666667;0,043333333;0,01;0,026666667;0,03;0,02;0,036666667;0,02;0,033333333;0,03;0,036666667;0,02
Харків;4993630;Амiак;0,0064375;0,007383333;0,0059625;0,0091125;0,00725;0,0054625;0,0104875;0,005583333;0,0087875;0,0050625;0,010875;0,01;0,0077875;0,00735;0,00735;0,010575;0,007275;0,006325;0,0081875;0,011016667;0,00535;0,0053375;0,0099375;0,006425;0,0054875
Харків;4993630;Формальдегiд;0,002003571;0,003319048;0,003314286;0,003567857;0,003067857;0,002957143;0,002310714;0,003433333;0,003129167;0,003058333;0,0030125;0,0029125;0,001608333;0,002819048;0,003285714;0,002225;0,00225;0,002796429;0,002175;0,004027778;0,002941667;0,002725;0,002775;0,003129167;0,003079167
Хмельницький;4942690;Завислі речовини;0,0775;0,08625;0,06;0,086;0,06875;0,08625;0,0945;0,078;0,09525;0,05975;0,0855;0,051;0,06;0,052;0,13725;0,14875;0,0685;0,10275;0,0605;0,05125;0,08575;0,043;0,0785;0,0605;0,061
Хмельницький;4942690;Дiоксид сiрки;0,0164625;0,01565;0,018475;0,0145125;0,0151625;0,0168625;0,0192125;0,018025;0,020275;0,0192;0,016675;0,0135625;0,014475;0,0146;0,014175;0,016175;0,014275;0,0135;0,0155;0,018975;0,0180125;0,015225;0,0184375;0,0206625;0,01955
Хмельницький;4942690;Сульфати;0,009725;0,01225;0,0121;0,01315;0,012925;0,0133;0,013775;0,01385;0,014875;0,014425;0,014975;0,014525;0,015175;0,01415;0,013175;0,013325;0,01275;0,01355;0,014025;0,0134;0,0144;0,01525;0,0123;0,010925;0,009875
Хмельницький;4942690;Оксид вуглецю;2,12;2,155;2,4025;2,295;2,3475;2,3875;2,325;2,745;2,54;2,2525;2,4725;2,0175;2,1575;2,5025;2,53;2,4875;2,37;2,5575;2,43;2,41;2,5325;2,375;2,565;2,7125;2,5875
Хмельницький;4942690;Дiоксид азоту;0,0287625;0,049175;0,0408875;0,023475;0,027625;0,0306375;0,0265;0,049325;0,042875;0,05385;0,041075;0,0227125;0,0215375;0,0250875;0,0317125;0,0282875;0,0287875;0,029525;0,04085;0,0363625;0,036225;0,036625;0,0272375;0,0358625;0,038775
Хмельницький;4942690;Оксид азоту;0,0241;0,034825;0,03135;0,0209;0,0237875;0,0236;0,025025;0,02685;0,032675;0,0395375;0,0307875;0,018625;0,0185125;0,0210875;0,02495;0,028;0,0241;0,02285;0,03135;0,0281625;0,0342;0,0262;0,0252375;0,028775;0,0271625
Хмельницький;4942690;Фенол;0,000816667;0,001233333;0,001566667;0,001;0,000983333;0,001116667;0,0013;0,001516667;0,001866667;0,001583333;0,001066667;0,001066667;0,001366667;0,00135;0,00135;0,001533333;0,0012;0,000983333;0,000983333;0,001383333;0,001;0,001283333;0,00165;0,002033333;0,0013
Хмельницький;4942690;Хлористий водень;0,0393;0,032825;0,0323;0,03315;0,02815;0,026375;0,02665;0,033525;0,03255;0,030275;0,031125;0,031975;0,02985;0,032425;0,0338;0,035525;0,039075;0,039575;0,0366;0,035325;0,038175;0,02955;0,031225;0,035975;0,0359
Хмельницький;4942690;Амiак;0,012475;0,012725;0,0097;0,01105;0,008025;0,01055;0,0105;0,022425;0,022625;0,010725;0,013775;0,011225;0,011275;0,0167;0,01395;0,016575;0,015425;0,015975;0,01615;0,01455;0,009625;0,004475;0,01205;0,012025;0,0112
Хмельницький;4942690;Формальдегiд;0,0008;0,001183333;0,0017;0,002366667;0,0017;0,001066667;0,0013;0,001333333;0,0012;0,00105;0,00145;0,00105;0,001066667;0,002366667;0,0017;0,00265;0,001916667;0,001833333;0,001716667;0,001316667;0,002233333;0,001833333;0,001716667;0,002233333;0,001733333
Херсон;4673270;Завислі речовини;null;0,1;0;0;null;0;null;0;0,025;0,033333333;0;0;null;null;null;0;0;0,05;null;null;null;0;0,05;null;null
Херсон;4673270;Дiоксид сiрки;null;0,0028;0,001714286;0,000666667;null;0;null;0,002142857;0,003333333;0,00175;0,0012;0,0034;null;null;null;0;0;0,0014;null;null;null;0;0;0;null
Херсон;4673270;Сульфати;null;0,01;0;0;null;0,005;null;0;0,01;0,01;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Херсон;4673270;Оксид вуглецю;null;0,673333333;0,225;0,584285714;null;0,707142857;null;0,233857143;0,174285714;0,331666667;0,212;0,178;null;null;null;0,208;0,262;0,168;null;null;null;0,098;0,182;0,29;null
Херсон;4673270;Дiоксид азоту;null;0,146;0,161428571;0,15;null;0,195714286;null;0,2;0,233333333;0,2275;0,178;0,234;null;null;null;0,205;0,18;0,19;null;null;null;0,1725;0,18;0,175;null
Херсон;4673270;Оксид азоту;null;0,15;0,08;0,1;null;0,096666667;null;0,123333333;0,135;0,15;0,1275;0,125;null;null;null;0,146666667;0,14;0,1025;null;null;null;0,12;0,163333333;0,17;null
Херсон;4673270;Фенол;null;0,0038;0,016571429;0,005888889;null;0,001428571;null;0,003142857;0,001888889;0,005375;0,0044;0,0022;null;null;null;0,002;0,0022;0,0024;null;null;null;0,0025;0;0,0025;null
Херсон;4673270;Формальдегiд;null;0;0;0;null;0,001428571;null;0;0;0;0;0;null;null;null;0;0;0;null;null;null;0;0,0025;0;null
Черкаси;4933200;Завислі речовини;0,15;0,12;0,133333333;0,166666667;0,133333333;0,2;0,066666667;0,05;0,1;0,116666667;0,116666667;0,1;0;0,1;0,15;0,133333333;0,266666667;0,183333333;0,1;0,15;0,1;0,1;0,106666667;0,183333333;0,116666667
Черкаси;4933200;Дiоксид сiрки;0,01125;0,012625;0,0105;0,0098;0,0112;0,013333333;0,013666667;0,011;0,01;0,0086;0,01;0,0098;0,0098;0,011142857;0,0084;0,0124;0,012;0,0109;0,0116;0,010285714;0,011125;0,011375;0,0127;0,01475;0,0169
Черкаси;4933200;Сульфати;0,01;0,01;0,01;0,01;0,01;0,01;0,01;0,015;0,01;0,01;0,01;0,01;0,015;0,01;0,01;0,01;0,01;0,015;0,015;0,015;0,01;0,01;0,01;0,01;0,01
Черкаси;4933200;Оксид вуглецю;1,166666667;1,833333333;1,166666667;1,333333333;1,333333333;2,666666667;1,333333333;1,166666667;1,666666667;1,166666667;1;1,166666667;1,333333333;1;1;1,166666667;1,333333333;1,333333333;1,333333333;1,166666667;1;1;1,166666667;1,166666667;2,333333333
Черкаси;4933200;Дiоксид азоту;0,039;0,031111111;0,029166667;0,027272727;0,035833333;0,025454545;0,032727273;0,04;0,038333333;0,033333333;0,0325;0,031666667;0,029166667;0,0375;0,035833333;0,041666667;0,036666667;0,031818182;0,0325;0,03125;0,024444444;0,028;0,045833333;0,048;0,050833333
Черкаси;4933200;Оксид азоту;0,035;0,09;0,025;0,045;0,0225;0,0225;0,03;0,056666667;0,0525;0,06;0,06;0,04;0,0425;0,066666667;0,0825;0,0575;0,0525;0,025;0,0225;0,046666667;0,0375;0,03;0,0375;0,065;0,0425
Черкаси;4933200;Сiрководень;0,0022;0,001666667;0,001416667;0,001909091;0,002;0,001636364;0,002;0,001777778;0,00175;0,001833333;0,001583333;0,001416667;0,00175;0,001875;0,002166667;0,00225;0,002111111;0,001272727;0,001666667;0,001625;0,001444444;0,0014;0,002166667;0,0024;0,00225
