city;coordinateNumber;nameImpurity;1February;2February;3February;5February;6February;7February;8February;9February;10February;11February;12February;13February;14February;15February;16February;17February;19February;20February;21February;22February;23February;24February;26February;27February;28February;29February
Запоріжжя;4793510;Сiрководень;0,003163636;0,002454545;0,002072727;0,002866667;0,0024;0,002572727;0,003254545;0,003272727;0,0034;null;0,003244444;0,004081818;0,003918182;0,004663636;0,003490909;0,003645455;0,003733333;0,004127273;0,002981818;0,003509091;0,002854545;0,002245455;0,002933333;0,0035;0,0027;0,003163636
Запоріжжя;4793510;Фенол;0,00441;0,00511;0,00453;0,004911111;0,00508;0,00575;0,00609;0,00605;0,00594;null;0,005877778;0,00684;0,00511;0,00685;0,00589;0,00481;0,005244444;0,00633;0,00544;0,00649;0,00537;0,00483;0,007555556;0,00689;0,00634;0,00718
Запоріжжя;4793510;Фтористий водень;0;0;0;0;0;0;0;0,0004;0,000275;null;0;0,00055;0,0005;0,001;0,00065;0,0003;0,000333333;0,00055;0;0,000725;0,0012;0,000675;0,0002;0,00075;0,00015;0
Запоріжжя;4793510;Хлористий водень;0,0401125;0,0388625;0,0326;0,033316667;0,0307375;0,0315875;0,0299375;0,0367;0,0344;null;0,0386;0,046225;0,02875;0,0404375;0,039875;0,039625;0,033483333;0,0360125;0,0337375;0,03875;0,0376125;0,0377125;0,047266667;0,04495;0,03885;0,04155
Запоріжжя;4793510;Формальдегiд;0,0038;0,003;0,0033;0,004333333;0,005425;0,006875;0,0047;0,005725;0,0043;null;0,0076;0,006175;0,004375;0,009525;0,0069;0,00655;0,0066;0,007;0,003125;0,00425;0,00395;0,00255;0,0068;0,007075;0,005575;0,007475
Івано-Франківськ;4892470;Завислі речовини;0,145;0,11;0,15;0,16;0,14;0,15;0,105;0,105;0,15;null;0,145;0,135;0,14;0,145;0,16;0,15;0,14;0,115;0,145;0,145;0,165;0,14;0,145;0,15;0,16;0,14
Івано-Франківськ;4892470;Дiоксид сiрки;0,0068;0,006;0,006875;0,008125;0,00775;0,0078;0,004925;0,005825;0,0078;null;0,008575;0,007675;0,007125;0,016125;0,006;0,004875;0,00525;0,0057;0,0057;0,005375;0,00545;0,005025;0,005025;0,004575;0,004625;0,004925
Івано-Франківськ;4892470;Оксид вуглецю;1,8;1,15;1,8;2,05;1,65;1,9;1,3;1,4;1,85;null;1,75;1,6;1,5;1,75;1,85;1,75;1,6;1,4;1,8;1,9;2,1;1,75;1,5;1,8;1,95;1,6
Івано-Франківськ;4892470;Дiоксид азоту;0,0384;0,037425;0,034075;0,04285;0,041825;0,043925;0,04805;0,043725;0,03905;null;0,066425;0,04685;0,039175;0,045875;0,036175;0,041675;0,038125;0,040925;0,039125;0,04265;0,0462;0,038475;0,043475;0,054675;0,0409;0,0506
Івано-Франківськ;4892470;Оксид азоту;0,02555;0,0257;0,0237;0,0291;0,028125;0,0286;0,031775;0,0292;0,026;null;0,04345;0,031475;0,02675;0,030475;0,024575;0,026825;0,026125;0,027475;0,026;0,02855;0,03005;0,026025;0,0287;0,035125;0,02675;0,033375
Дніпро;4863510;Завислі речовини;0,325;0,2375;0,2125;0,2375;0,175;0,25;0,2;0,2;0,1625;null;0,1875;0,2375;0,225;0,2375;0,2;0,225;0,2625;0,225;0,25;0,3;0,2375;0,2375;0,2375;0,275;0,3;0,325
Дніпро;4863510;Дiоксид сiрки;0,012875;0,009791667;0,011833333;0,0115;0,011083333;0,009541667;0,009208333;0,008833333;0,011041667;null;0,011388889;0,012916667;0,009708333;0,011666667;0,012583333;0,012583333;0,010055556;0,009291667;0,010541667;0,015291667;0,013125;0,012541667;0,020388889;0,016625;0,029291667;0,018916667
Дніпро;4863510;Оксид вуглецю;1,916666667;2,25;3;2,583333333;2,25;2,666666667;2,333333333;2,25;2,083333333;null;2;2,416666667;2,666666667;2;2,25;1,833333333;2,083333333;1,916666667;1,916666667;2,166666667;2;2;2,416666667;2;2,083333333;2,333333333
Дніпро;4863510;Дiоксид азоту;0,07375;0,074166667;0,077916667;0,088888889;0,08;0,079166667;0,085416667;0,082916667;0,065833333;null;0,06;0,073333333;0,06625;0,058333333;0,058333333;0,055416667;0,057222222;0,06375;0,0625;0,055416667;0,0525;0,04625;0,052222222;0,049583333;0,050416667;0,055416667
Дніпро;4863510;Оксид азоту;0,0275;0,03;0,05;0,046666667;0,05;0,0475;0,0375;0,05;0,035;null;0,03;0,0425;0,045;0,0275;0,0425;0,0275;0,036666667;0,0375;0,0325;0,035;0,0275;0,03;0,03;0,0325;0,035;0,04
Дніпро;4863510;Сiрководень;0,001833333;0,003041667;0,003041667;0,003722222;0,00375;0,00325;0,003083333;0,001333333;0,001541667;null;0,003111111;0,0015;0,001458333;0,001666667;0,00175;0,0015;0,001277778;0,001041667;0,00125;0,001208333;0,001958333;0,001208333;0,001611111;0,002166667;0,001291667;0,001958333
Дніпро;4863510;Фенол;0,001666667;0,002083333;0,002166667;0,002111111;0,00225;0,00175;0,00225;0,002666667;0,003;null;0,001777778;0,001916667;0,002083333;0,0035;0,004083333;0,002;0,003444444;0,002583333;0,001916667;0,001666667;0,00175;0,002166667;0,002333333;0,00175;0,001833333;0,001583333
Дніпро;4863510;Амiак;0,0375;0,02625;0,02125;0,035;0,03;0,02875;0,04625;0,0375;0,0325;null;0,035;0,03625;0,0375;0,03625;0,0325;0,035;0,035;0,03;0,035;0,03625;0,0375;0,035;0,038333333;0,035;0,03625;0,03625
Дніпро;4863510;Формальдегiд;0,009583333;0,008916667;0,009166667;0,007555556;0,0105;0,011;0,011666667;0,011416667;0,010083333;null;0,013222222;0,011916667;0,012083333;0,010083333;0,009333333;0,00925;0,010333333;0,009083333;0,008916667;0,011666667;0,011333333;0,01225;0,012111111;0,010166667;0,01125;0,010166667
Кривий Ріг;4793340;Завислі речовини;0,26;0,23;0,06;0,11;0,17;0,27;0,19;0,05;0;null;0,14;0,11;0,11;0,08;0,24;0,27;0,19;0,27;0,32;0,49;0,48;0,46;0,35;0,46;0,39;0,36
Кривий Ріг;4793340;Дiоксид сiрки;0,021692308;0,016076923;0,012923077;0,0141;0,019846154;0,024615385;0,016538462;0,017076923;0,006769231;null;0,0358;0,031846154;0,019230769;0,007230769;0,014230769;0,023153846;0,0187;0,024461538;0,033307692;0,034461538;0,027461538;0,026769231;0,0284;0,029;0,023769231;0,026923077
Кривий Ріг;4793340;Оксид вуглецю;1,2;1;1,1;0,8;1;1;0,8;1,7;2;null;2,2;1,7;1,2;1,2;1,4;1,4;1;1;1,3;1,4;1,4;1,5;1,2;1,1;1,2;1,4
Кривий Ріг;4793340;Дiоксид азоту;0,026923077;0,023846154;0,023846154;0,018;0,024615385;0,028461538;0,021538462;0,03;0,031538462;null;0,043;0,023076923;0,020769231;0,019230769;0,026153846;0,033076923;0,024;0,032307692;0,026153846;0,030769231;0,034615385;0,026153846;0,026;0,026923077;0,031538462;0,038461538
Кривий Ріг;4793340;Оксид азоту;0,01;0,013333333;0,006666667;0,01;0,016666667;0,016666667;0,013333333;0,026666667;0,02;null;0,02;0,016666667;0,013333333;0,01;0,013333333;0,02;0,01;0,02;0,01;0,016666667;0,02;0,013333333;0,03;0,013333333;0,016666667;0,02
Кривий Ріг;4793340;Сiрководень;0,0013;0,0008;0,0011;0,0006;0,0011;0,0011;0,0008;0,0014;0,0013;null;0,0019;0,0011;0,001;0,001;0,0015;0,0013;0,0009;0,0013;0,0015;0,0018;0,0013;0,0011;0,0014;0,0019;0,0014;0,0015
Кривий Ріг;4793340;Фенол;0,002;0,0014;0,00175;0,001933333;0,0018;0,00215;0,00135;0,0026;0,0021;null;0,003446667;0,00275;0,00155;0,0014;0,00255;0,00275;0,002066667;0,0023;0,0031;0,00405;0,0031;0,00255;0,002866667;0,003;0,003;0,0036
