city;nameImpurity;averageMonthlyConcentration;maximumAllowableAverageDailyConcentrations;maximumSingleConcentration;maximumAllowableConcentrationsAreMaximumSingle;airPollutionIndex;;;;;;;
Дніпро;Амiак;0,03;0,8;0,06;0,3;null;;;;;;;
Дніпро;Формальдегiд;0,011;3,7;0,031;0,9;null;;;;;;;
Дніпро;null;null;null;null;null;10,66;;;;;;;
Житомир;Завислі речовини;0,08;0,5;0,15;0,3;null;;;;;;;
Житомир;Дiоксид сiрки;0,037;0,7;0,058;0,1;null;;;;;;;
Житомир;Оксид вуглецю;0,8;0,3;3,2;0,6;null;;;;;;;
Житомир;Дiоксид азоту;0,10;2,5;0,22;1,1;null;;;;;;;
Житомир;null;null;null;null;null;4,08;;;;;;;
Запоріжжя;Завислі речовини;0,11;0,7;0,50;1,0;null;;;;;;;
Запоріжжя;Дiоксид сiрки;0,007;0,1;0,015;0,0;null;;;;;;;
Запоріжжя;Сульфати;0,01;null;0,03;null;null;;;;;;;
Запоріжжя;Оксид вуглецю;0,5;0,2;2,0;0,4;null;;;;;;;
Запоріжжя;Дiоксид азоту;0,07;1,7;0,17;0,9;null;;;;;;;
Запоріжжя;Оксид азоту;0,04;0,7;0,09;0,2;null;;;;;;;
Запоріжжя;Сiрководень;0,003;null;0,008;1,0;null;;;;;;;
Запоріжжя;Фенол;0,006;2,0;0,013;1,3;null;;;;;;;
Запоріжжя;Фтористий водень;0,000;0,0;0,002;0,1;null;;;;;;;
Запоріжжя;Хлористий водень;0,04;0,2;0,08;0,4;null;;;;;;;
Запоріжжя;Формальдегiд;0,007;2,3;0,011;0,3;null;;;;;;;
Запоріжжя;null;null;null;null;null;8,74;;;;;;;
Івано-Франківськ;Завислі речовини;0,14;0,9;0,19;0,4;null;;;;;;;
Івано-Франківськ;Дiоксид сiрки;0,005;0,1;0,033;0,1;null;;;;;;;
Івано-Франківськ;Оксид вуглецю;1,7;0,6;2,1;0,4;null;;;;;;;
Івано-Франківськ;Дiоксид азоту;0,04;1,1;0,13;0,7;null;;;;;;;
Івано-Франківськ;Оксид азоту;0,03;0,5;0,10;0,2;null;;;;;;;
Івано-Франківськ;null;null;null;null;null;3,24;;;;;;;
Ізмаїл;Завислі речовини;0,06;0,4;0,16;0,3;null;;;;;;;
Ізмаїл;Дiоксид сiрки;0,023;0,5;0,057;0,1;null;;;;;;;
Ізмаїл;Сульфати;0,01;null;0,02;null;null;;;;;;;
Ізмаїл;Оксид вуглецю;0,6;0,2;1,1;0,2;null;;;;;;;
Ізмаїл;Дiоксид азоту;0,06;1,5;0,10;0,5;null;;;;;;;
Ізмаїл;Сiрководень;0,001;null;0,003;0,4;null;;;;;;;
Ізмаїл;Формальдегiд;0,001;0,5;0,004;0,1;null;;;;;;;
Ізмаїл;null;null;null;null;null;2,99;;;;;;;
Кам'янське;Завислі речовини;0,26;1,7;0,49;1,0;null;;;;;;;
Кам'янське;Дiоксид сiрки;0,006;0,1;0,013;0,0;null;;;;;;;
Кам'янське;Оксид вуглецю;2,7;0,9;5,0;1,0;null;;;;;;;
Кам'янське;Дiоксид азоту;0,11;2,7;0,30;1,5;null;;;;;;;
Кам'янське;Оксид азоту;0,05;0,9;0,10;0,3;null;;;;;;;
Кам'янське;Сiрководень;0,004;null;0,009;1,1;null;;;;;;;
Кам'янське;Фенол;0,005;1,7;0,014;1,4;null;;;;;;;
Кам'янське;Амiак;0,04;1,1;0,07;0,3;null;;;;;;;
Кам'янське;Формальдегiд;0,009;3,0;0,022;0,6;null;;;;;;;
Кам'янське;null;null;null;null;null;11,65;;;;;;;
Київ;Завислі речовини;0,07;0,5;0,16;0,3;null;;;;;;;
Київ;Дiоксид сiрки;0,086;1,7;0,169;0,3;null;;;;;;;
Київ;Сульфати;0,02;null;0,03;null;null;;;;;;;
Київ;Оксид вуглецю;1,2;0,4;4,6;0,9;null;;;;;;;
Київ;Дiоксид азоту;0,11;2,7;0,47;2,4;null;;;;;;;
Київ;Сiрководень;0,001;null;0,002;0,3;null;;;;;;;
Київ;Фенол;0,002;0,8;0,004;0,4;null;;;;;;;
Київ;Фтористий водень;0,001;0,2;0,003;0,2;null;;;;;;;
Київ;Хлористий водень;0,06;0,3;0,11;0,6;null;;;;;;;
Київ;Амiак;0,01;0,2;0,01;0,1;null;;;;;;;
Київ;Формальдегiд;0,004;1,2;0,009;0,3;null;;;;;;;
Київ;null;null;null;null;null;6,92;;;;;;;
Кременчук;Завислі речовини;0,15;1,0;0,44;0,9;null;;;;;;;
Кременчук;Дiоксид сiрки;0,007;0,1;0,026;0,1;null;;;;;;;
Кременчук;Сульфати;0,01;null;0,02;null;null;;;;;;;
Кременчук;Оксид вуглецю;0,7;0,2;3,4;0,7;null;;;;;;;
Кременчук;Дiоксид азоту;0,03;0,8;0,15;0,7;null;;;;;;;
Кременчук;Оксид азоту;0,02;0,4;0,09;0,2;null;;;;;;;
Кременчук;Фенол;0,001;0,2;0,004;0,4;null;;;;;;;
Кременчук;Сажа;0,01;0,3;0,13;0,9;null;;;;;;;
Кременчук;Амiак;0,01;0,2;0,02;0,1;null;;;;;;;
Кременчук;Формальдегiд;0,005;1,6;0,014;0,4;null;;;;;;;
