city;coordinateNumber;nameImpurity;1December;2December;3December;4December;5December;6December;7December;8December;9December;10December;11December;12December;13December;14December;15December;16December;17December;18December;20December;21December;22December;23December;24December;25December;27December;28December;29December;30December;31December
Вінниця;4922860;Амiак;;;;;;0,01805;0,021725;0,01815;0,0126;0,005475;0,007225;;0,003575;0,003525;0,003525;0,019175;0,0105;0,0071;0,01075;0;0,0107;0,00535;0,003575;0;0,0054;0,014375;0,018125;0,021475;0,01615
Вінниця;4922860;Формальдегiд;;;;;;0,0177;0,0039;0,0059;0,01375;0,01385;0,00785;;0,01735;0,00965;0,0039;0,0019;0;0,01355;0,0039;0,00585;0,0039;0,0039;0,0039;0,0058;0,0039;0,0078;0,0079;0,0019;0,01175
Луцьк;5082530;Завислі речовини;0,05;0,05;0,033333333;0,033333333;;0,066666667;0,066666667;0,066666667;0,066666667;0,05;0,016666667;;0,033333333;0,035;0,033333333;0,016666667;0,083333333;0,033333333;0,1;0,083333333;0,05;0,083333333;0,083333333;0,066666667;0,083333333;0,05;0,083333333;0,066666667;0,066666667
Луцьк;5082530;Дiоксид сiрки;0,00155;0,002266667;0,001708333;0,001516667;;0,002358333;0,001733333;0,0017;0,00235;0,001883333;0,001875;;0,002558333;0,001725;0,001466667;0,002141667;0,002091667;0,002008333;0,001466667;0,0029;0,002508333;0,002366667;0,002175;0,001216667;0,001483333;0,002641667;0,002008333;0,00215;0,0016
Луцьк;5082530;Сульфати;0,005;0,005;0,01;0,005;;0,01;0,01;0,01;0,01;0,01;0;;0,01;0,01;0,005;0,005;0,005;0;0,015;0,01;0,01;0,01;0,015;0,005;0,01;0,01;0,015;0,01;0,01
Луцьк;5082530;Оксид вуглецю;0;0;0,666666667;0;;0,5;0,166666667;0,333333333;0,166666667;0,166666667;0;;0,166666667;0,166666667;0,166666667;0,333333333;0,5;0,166666667;0,833333333;0,833333333;0,333333333;0,5;0,833333333;0;0,5;0,333333333;0,333333333;0,166666667;0,333333333
Луцьк;5082530;Дiоксид азоту;0,049025;0,058616667;0,051041667;0,042266667;;0,062366667;0,088466667;0,092241667;0,071208333;0,0963;0,050958333;;0,068308333;0,075191667;0,083491667;0,075125;0,094141667;0,060525;0,076333333;0,046666667;0,074625;0,104516667;0,111691667;0,054983333;0,093733333;0,08935;0,122566667;0,095458333;0,066966667
Луцьк;5082530;Оксид азоту;0,0326;0,0385;0,027625;0,019075;;0,0273;0,044075;0,021925;0,028675;0,03175;0,0163;;0,03395;0,030775;0,0475;0,034825;0,0469;0,028925;0,035075;0,02045;0,027875;0,05615;0,0588;0,02635;0,037575;0,03715;0,03605;0,0427;0,027375
Луцьк;5082530;Фенол;0,005416667;0,007233333;0,0062;0,004983333;;0,00715;0,006066667;0,006833333;0,005158333;0,0054;0,004566667;;0,005866667;0,007283333;0,005808333;0,0049;0,005591667;0,005241667;0,006016667;0,006108333;0,005533333;0,006125;0,005616667;0,004658333;0,004816667;0,005616667;0,005566667;0,005641667;0,005508333
Луцьк;5082530;Формальдегiд;0,0039375;0,003975;0,0053125;0,0027625;;0,0032;0,004325;0,0042375;0,0052125;0,0062;0,0042;;0,0045375;0,0055375;0,0059375;0,0060125;0,0053375;0,0029;0,0039;0,0047375;0,0057125;0,006525;0,008;0,0072125;0,0087375;0,007325;0,0058375;0,0047;0,00425
