city;coordinateNumber;nameImpurity;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
Запоріжжя;4793510;Формальдегiд;0,006;0,008;0,007;0,007;0,007;null;0,006;0,006;0,007;0,008;0,009;0,008;null;0,009;0,009;0,008;0,006;0,007;0,008;null;0,006;0,007;0,007;0,006;0,009;0,008;null;0,007;0,008;0,007;0,006
Івано-Франківськ;4892470;Завислі речовини;0,15;0,14;0,15;0,14;0,15;null;0,11;0,15;0,09;0,08;0,14;0,09;null;0,16;0,14;0,08;0,15;0,05;0,14;null;0,16;0,15;0,17;0,19;0,16;0,15;null;0,16;0,15;0,15;0,15
Івано-Франківськ;4892470;Дiоксид сiрки;0,01;0,015;0,02;0,013;0,012;null;0,005;0,004;0,006;0,006;0,004;0,004;null;0,005;0,004;0,003;0,003;0,004;0,005;null;0,006;0,003;0,004;0,004;0,005;0,004;null;0,002;0,003;0,004;0,004
Івано-Франківськ;4892470;Оксид вуглецю;1,9;1,7;2,2;2;2,2;null;1,4;2,2;1,3;1;1,8;1,2;null;2;1,8;1,2;1,6;1,1;2,1;null;2,3;2,1;3;2,2;2,1;2,1;null;2,3;2;1,8;1,9
Івано-Франківськ;4892470;Дiоксид азоту;0,06;0,07;0,09;0,05;0,06;null;0,06;0,05;0,05;0,05;0,05;0,05;null;0,05;0,05;0,04;0,04;0,04;0,05;null;0,06;0,04;0,04;0,05;0,04;0,05;null;0,05;0,05;0,06;0,05
Івано-Франківськ;4892470;Оксид азоту;0,04;0,05;0,06;0,04;0,04;null;0,04;0,03;0,03;0,04;0,03;0,04;null;0,03;0,04;0,03;0,03;0,03;0,04;null;0,04;0,03;0,03;0,04;0,03;0,03;null;0,03;0,03;0,04;0,03
Дніпро;4863510;Завислі речовини;0,29;0,26;0,25;0,26;0,25;null;0,38;0,36;0,3;0,38;0,25;0,21;null;0,25;0,35;0,34;0,36;0,25;0,24;null;0,28;0,26;0,26;0,36;0,4;0,4;null;0,36;0,38;0,41;0,36
Дніпро;4863510;Дiоксид сiрки;0,007;0,005;0,007;0,004;0,005;null;0,007;0,007;0,007;0,008;0,007;0,007;null;0,007;0,007;0,005;0,006;0,007;0,005;null;0,01;0,004;0,008;0,007;0,005;0,008;null;0,007;0,01;0,01;0,008
Дніпро;4863510;Оксид вуглецю;2,3;2,1;1,8;2,7;2,2;null;2,8;2,3;2,6;2,6;4;2;null;2,3;2,7;2,7;2;2,8;1,9;null;2,4;2,1;2,5;2,2;2,9;2,3;null;2,3;2,3;2,8;2,4
Дніпро;4863510;Дiоксид азоту;0,05;0,05;0,06;0,08;0,07;null;0,09;0,07;0,08;0,09;0,08;0,06;null;0,08;0,07;0,07;0,08;0,07;0,06;null;0,08;0,06;0,06;0,06;0,08;0,08;null;0,07;0,07;0,07;0,06
