city;coordinateNumber;nameImpurity;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Запоріжжя;4793510;Фенол;0,00647;0,00748;0,00778;0,00593;0,00572;null;0,005644444;0,00578;0,00504;0,00557;0,00544;0,00698;null;0,005611111;0,00584;0,00619;0,00709;0,00665;0,00624;null;0,005411111;0,00606;0,00708;0,00797;0,00687;0,005;null;0,006833333;0,00625;0,0066
Запоріжжя;4793510;Фтористий водень;0,0001;0,0006;0,00075;0;0;null;0;0;0;0;0;0,0009;null;0;0,0006;0,00015;0;0;0,00045;null;0;0;0,00045;0;0;0;null;0,000533333;0,00015;0
Запоріжжя;4793510;Хлористий водень;0,04865;0,0487375;0,04895;0,0360625;0,042925;null;0,038333333;0,04465;0,0482;0,041075;0,0432125;0,0455375;null;0,04365;0,04065;0,0348125;0,048825;0,0492375;0,0415875;null;0,053866667;0,0415375;0,0367875;0,054225;0,0576625;0,0492875;null;0,0513;0,0507375;0,0467625
Запоріжжя;4793510;Формальдегiд;0,0082;0,006925;0,0076;0,00695;0,008;null;0,005966667;0,00685;0,007125;0,006275;0,00705;0,00695;null;0,005366667;0,00795;0,006625;0,007725;0,007;0,006175;null;0,007833333;0,00615;0,007075;0,00735;0,007625;0,00705;null;0,0075;0,00555;0,006375
Івано-Франківськ;4892470;Завислі речовини;0,105;0,105;0,15;0,16;0,075;null;0,135;0,08;0,135;0,105;0,085;0,145;null;0,145;0,11;0,15;0,15;0,16;0,15;null;0,14;0,15;0,15;0,14;0,14;0,135;null;0,145;0,14;0,1
Івано-Франківськ;4892470;Дiоксид сiрки;0,002325;0,004225;0,004575;0,00545;0,005025;null;0,002625;0,003375;0,002675;0,0042;0,005375;0,003125;null;0,0141;0,006225;0,00355;0,0028;0,004;0,0059;null;0,00365;0,0036;0,004425;0,003225;0,00395;0,003875;null;0,003125;0,003475;0,00275
Івано-Франківськ;4892470;Оксид вуглецю;1,25;1,4;2;1,9;1,1;null;1,6;1,1;1,7;1,3;1,15;1,8;null;1,85;1,4;2,3;2;1,9;1,9;null;1,65;2,15;1,95;1,7;1,85;1,8;null;1,9;1,7;1,4
Івано-Франківськ;4892470;Дiоксид азоту;0,044025;0,0395;0,039425;0,04115;0,03975;null;0,035375;0,033975;0,03825;0,041175;0,035225;0,04125;null;0,0316;0,039375;0,04995;0,075275;0,053275;0,05125;null;0,034525;0,040025;0,03565;0,037675;0,03275;0,047475;null;0,04755;0,04885;0,05135
Івано-Франківськ;4892470;Оксид азоту;0,03015;0,028825;0,026975;0,02995;0,03275;null;0,027025;0,0283;0,02735;0,029125;0,02365;0,028475;null;0,023725;0,029575;0,034225;0,050775;0,0389;0,035;null;0,0256;0,028575;0,0263;0,027125;0,025775;0,0345;null;0,033;0,03615;0,035025
Дніпро;4863510;Завислі речовини;0,1625;0,1875;0,25;0,3;0,2125;null;0,1875;0,1625;0,2;0,2375;0,25;0,1625;null;0,2125;0,25;0,2875;0,2375;0,2875;0,2375;null;0,3875;0,3125;0,3625;0,3875;0,3125;0,325;null;0,25;0,3375;0,25
