city;coordinateNumber;nameImpurity;1October;2October;3October;4October;5October;6October;7October;8October;9October;10October;11October;12October;13October;14October;15October;16October;17October;18October;19October;20October;21October;22October;23October;24October;25October;26October;27October;28October;29October;30October;31October;;;;;;;;;;;;
Ужгород;4862230;Дiоксид сiрки;0,0115;0,011875;0,013375;0,01525;0,013625;null;0,014125;0,012125;0,016125;0,01525;0,0135;0,013375;null;0,013;0,013625;0,013625;0,01225;0,01175;0,01725;null;0,01325;0,0115;0,01425;0,014125;0,01625;0,01325;null;0,013375;0,011;0,01425;0,0135;;;;;;;;;;;;
Ужгород;4862230;Сульфати;0,0055;0,0095;0,0085;0,0045;0,006;null;0,0075;0,006;0,006;0,0075;0,006;0,008;null;0,0105;0,0085;0,0075;0,007;0,0105;0,0075;null;0,005;0,0065;0,0075;0,009;0,0055;0,0055;null;0,0085;0,007;0,009;0,0065;;;;;;;;;;;;
Ужгород;4862230;Оксид вуглецю;0,8875;1,005;1,1575;1,02;0,8175;null;0,9125;0,7475;0,8925;1,05;0,705;0,8425;null;1,005;1,035;1,19;1,655;1,0175;0,9875;null;1,02;0,8725;1,0125;0,9575;1,2425;0,8625;null;1,035;1,01;1,2325;1,19;;;;;;;;;;;;
Ужгород;4862230;Дiоксид азоту;0,0365;0,052125;0,089125;0,078875;0,076625;null;0,071875;0,077;0,04825;0,0725;0,10275;0,04475;null;0,044625;0,0585;0,042;0,050625;0,038125;0,05325;null;0,054625;0,073375;0,0525;0,05075;0,049;0,05725;null;0,1035;0,058857143;0,048625;0,051875;;;;;;;;;;;;
Ужгород;4862230;Оксид азоту;0,02725;0,02725;0,05475;0,0465;0,049;null;0,04475;0,06625;0,034;0,03825;0,06025;0,035;null;0,0315;0,03025;0,0215;0,0435;0,02225;0,04;null;0,0335;0,04375;0,028;0,03075;0,026;0,028;null;0,08525;0,033;0,02425;0,025;;;;;;;;;;;;
Ужгород;4862230;Формальдегiд;0,00575;0,0055;0,006;0,007875;0,006875;null;0,008;0,00625;0,006;0,00675;0,005625;0,00575;null;0,005875;0,006875;0,00575;0,0045;0,005625;0,005625;null;0,006625;0,00575;0,00725;0,007125;0,005375;0,006125;null;0,007;0,005;0,007;0,0075;;;;;;;;;;;;
Запоріжжя;4793510;Завислі речовини;0,19;0,12;0,13;0,12;0,12;null;0,08;0,11;0,16;0,12;0,14;0,06;null;0,1;0,16;0,11;0,12;0,08;0,09;null;0,05;0,11;0,09;0,1;0,1;0,09;null;0,07;0,1;0,12;0,08;;;;;;;;;;;;
Запоріжжя;4793510;Дiоксид сiрки;0,007207143;0,005914286;0,006778571;0,006185714;0,006378571;null;0,006284615;0,006721429;0,005914286;0,005692857;0,005978571;0,006814286;null;0,0064;0,005478571;0,005892857;0,0072;0,006378571;0,005571429;null;0,0076;0,007871429;0,007821429;0,007371429;0,006285714;0,005142857;null;0,006623077;0,006307143;0,0089;0,007085714;;;;;;;;;;;;
Запоріжжя;4793510;Сульфати;0,015;0,015;0,01;0,015;0,01;null;0,015;0,01;0,015;0,01;0,01;0,02;null;0,01;0,015;0,015;0,015;0,01;0,02;null;0,01;0,01;0,015;0,01;0,01;0,01;null;0,015;0,01;0,015;0,01;;;;;;;;;;;;
Запоріжжя;4793510;Оксид вуглецю;0,51;0,98;0,57;0,56;0,57;null;0,41;0,46;0,53;0,81;0,65;0,4;null;0,46;0,52;0,3;0,27;0,23;0,28;null;0,46;0,98;0,65;0,32;0,31;0,33;null;0,32;0,45;0,9;0,36;;;;;;;;;;;;
Запоріжжя;4793510;Дiоксид азоту;0,069021429;0,063771429;0,045142857;0,074892857;0,085164286;null;0,084576923;0,050935714;0,049528571;0,042314286;0,040935714;0,041678571;null;0,060846154;0,07975;0,061835714;0,061835714;0,085414286;0,068707143;null;0,064792308;0,065514286;0,060792857;0,055678571;0,036821429;0,034771429;null;0,061361538;0,068528571;0,072992857;0,064721429;;;;;;;;;;;;
Запоріжжя;4793510;Оксид азоту;0,048666667;0,0302;0,027466667;0,034566667;0,034766667;null;0,032266667;0,0318;0,029566667;0,025366667;0,023066667;0,0115;null;0,0405;0,040433333;0,046733333;0,043933333;0,0484;0,0371;null;0,041666667;0,037433333;0,0378;0,033266667;0,039566667;0,033133333;null;0,046966667;0,047266667;0,0379;0,033733333;;;;;;;;;;;;
Запоріжжя;4793510;Сiрководень;0,003927273;0,003390909;0,002309091;0,002736364;0,002563636;null;0,003133333;0,002645455;0,0026;0,002790909;0,002745455;0,002581818;null;0,003122222;0,003118182;0,002436364;0,002627273;0,003136364;0,002954545;null;0,002633333;0,002672727;0,003245455;0,0032;0,002572727;0,002754545;null;0,0034;0,0029;0,002754545;0,003354545;;;;;;;;;;;;
Запоріжжя;4793510;Фенол;0,00782;0,00731;0,0056;0,00689;0,0065;null;0,005855556;0,00512;0,00695;0,00464;0,00492;0,00666;null;0,006466667;0,00673;0,00651;0,00726;0,00643;0,00523;null;0,005288889;0,00428;0,0059;0,00591;0,00594;0,00447;null;0,005677778;0,00558;0,00525;0,00532;;;;;;;;;;;;
Запоріжжя;4793510;Фтористий водень;0,000675;0;0;0;0;null;0;0;0;0;0,000175;0;null;0,000233333;0;0;0;0;0;null;0;0;0;0;0,00015;0;null;0;0;0;0;;;;;;;;;;;;
Запоріжжя;4793510;Хлористий водень;0,0463125;0,0464375;0,04455;0,044575;0,0408375;null;0,033366667;0,047975;0,0325125;0,0314875;0,043475;0,0434;null;0,046266667;0,043625;0,0457625;0,045225;0,036375;0,0424125;null;0,04175;0,0439;0,0278125;0,0355;0,0326625;0,0366375;null;0,051133333;0,0436625;0,0444;0,043525;;;;;;;;;;;;
Запоріжжя;4793510;Формальдегiд;0,0102;0,007975;0,008075;0,00755;0,0071;null;0,008566667;0,0063;0,00585;0,0052;0,007275;0,0047;null;0,005066667;0,006575;0,00715;0,0053;0,006925;0,006725;null;0,004933333;0,00645;0,005375;0,00485;0,0053;0,00485;null;0,005466667;0,007075;0,006025;0,006725;;;;;;;;;;;;
Івано-Франківськ;4892470;Завислі речовини;0,145;0,115;0,15;0,145;0,145;null;0,14;0,15;0,165;0,15;0,14;0,15;null;0,15;0,145;0,145;0,16;0,15;0,165;null;null;null;null;null;null;null;null;null;null;null;null;;;;;;;;;;;;
Івано-Франківськ;4892470;Дiоксид сiрки;0,00345;0,0023;0,002775;0,002;0,0039;null;0,00195;0,00235;0,00275;0,004;0,00475;0,005025;null;0,0107;0,004175;0,0038;0,004125;0,001875;0,004125;null;null;null;null;null;null;null;null;null;null;null;null;;;;;;;;;;;;
