city;coordinateNumber;nameImpurity;1November;2November;3November;4November;5November;6November;7November;8November;9November;10November;11November;12November;13November;14November;15November;16November;17November;18November;19November;20November;21November;22November;23November;24November;25November;26November;27November;28November;29November;30November
Кривий Ріг;4793340;Оксид азоту;0,016666667;0,023333333;null;0,015;0,033333333;0,013333333;0,01;0,023333333;0,013333333;null;0,02;0,016666667;0,016666667;0,013333333;0,016666667;0,016666667;null;0,03;0,016666667;0,026666667;0,016666667;0,013333333;0,016666667;null;0,015;0,013333333;0,023333333;0,016666667;0,02;null
Кривий Ріг;4793340;Сiрководень;0,001;0,0014;null;0,0015;0,0011;0,0009;0,001;0,001;0,0012;null;0,0015;0,0013;0,0013;0,0013;0,0008;0,0009;null;0,0017;0,0014;0,001;0,0009;0,0013;0,0008;null;0,0006;0,001;0,0013;0,0011;0,0014;null
Кривий Ріг;4793340;Фенол;0,0022;0,00265;null;0,001866667;0,0018;0,00155;0,00145;0,0019;0,00165;null;0,002133333;0,00215;0,0025;0,0024;0,00145;0,0012;null;0,003666667;0,00215;0,00225;0,0015;0,0016;0,00145;null;0,000866667;0,0017;0,0021;0,00205;0,0023;null
Кривий Ріг;4793340;Амiак;0,011;0,012;null;0,01;0,01;0,009;0,0095;0,01;0,01;null;0,010666667;0,011;0,01;0,0105;0,0095;0,008;null;0,013333333;0,0105;0,01;0,0065;0,0095;0,008;null;0,008;0,01;0,0105;0,0105;0,0115;null
Кривий Ріг;4793340;Формальдегiд;0,01203;0,01375;null;0,012866667;0,01155;0,01118;0,01195;0,0108;0,0096;null;0,009866667;0,0103;0,01105;0,0091;0,00825;0,0104;null;0,015733333;0,01165;0,01055;0,0088;0,01005;0,0088;null;0,010133333;0,01265;0,0115;0,0114;0,013;null
Кам'янське;4853460;Завислі речовини;0,2736875;0,3113;null;0,3833875;0,376475;0,192775;0,212825;0,2138375;0,20675;null;0,2343125;0,1867625;0,1556125;0,0221125;0,127325;0,17995;null;0,17255;0,142275;0,2870125;0,1533;0,083375;0,091875;null;0,2663;0,2104;0,13215;0,144475;0,14365;0,11195
Кам'янське;4853460;Дiоксид сiрки;0,0072625;0,006925;null;0,005425;0,0059875;0,005825;0,0073375;0,007025;0,0060625;null;0,005725;0,0053375;0,0056625;0,0035625;0,0055375;0,006825;null;0,00685;0,006975;0,006425;0,0053;0,004225;0,005525;null;0,005825;0,005975;0,006775;0,00795;0,007075;0,0067
Кам'янське;4853460;Оксид вуглецю;3,375;3;null;3,25;3;3,5;3,875;3,375;3,125;null;3,5;3,25;3,125;3,25;3,125;3,25;null;3,375;3,125;3,375;2,75;2,75;3;null;3;2,75;2,75;3,25;3;3,25
Кам'янське;4853460;Дiоксид азоту;0,11125625;0,0989875;null;0,105083333;0,13;0,10756875;0,1293875;0,1192625;0,11884375;null;0,106316667;0,1198;0,11898125;0,09045625;0,1297;0,1405875;null;0,1488;0,134725;0,1206;0,1049625;0,1099875;0,10565;null;0,106383333;0,11505;0,130325;0,1198875;0,1381;0,125375
Кам'янське;4853460;Оксид азоту;0,04815;0,042;null;0,051133333;0,07105;0,04525;0,070125;0,06095;0,071275;null;0,0495;0,060725;0,062475;0,0438;0,064625;0,058025;null;0,0718;0,0657;0,0553;null;null;null;null;null;null;null;null;null;null
Кам'янське;4853460;Сiрководень;0,004513333;0,004086667;null;0,004436364;0,00482;0,0041;0,004446667;0,004693333;0,00494;null;0,004090909;0,00336;0,002626667;0,00258;0,002346667;0,003053333;null;0,003063636;0,003553333;0,002993333;0,0032;0,002285714;0,003971429;null;0,00424;0,0036;0,004728571;0,003757143;0,0043;0,005014286
Кам'янське;4853460;Фенол;0,00529375;0,005325;null;0,004841667;0,0051625;0,0048;0,00545;0,0048875;0,0048875;null;0,004825;0,00494375;0,0043875;0,00320625;0,003875;0,00378125;null;0,003925;0,004425;0,0032375;0,0053375;0,0050125;0,0048;null;0,00615;0,004775;0,0047875;0,0052375;0,0052125;0,0053875
Кам'янське;4853460;Амiак;0,0452875;0,0444;null;0,043725;0,043325;0,0457375;0,0476375;0,0499;0,04655;null;0,04965;0,045725;0,0438;0,036425;0,043925;0,044575;null;0,04235;0,0400625;0,0360125;0,034725;0,022475;0,040675;null;0,035825;0,037075;0,038425;0,0472;0,038625;0,0492
Кам'янське;4853460;Формальдегiд;0,0081;0,0087125;null;0,008225;0,008025;0,0085875;0,0110625;0,00855;0,0081375;null;0,008025;0,0089875;0,0088125;0,0099;0,005475;0,0057;null;0,0070625;0,009725;0,0084125;0,006625;0,007625;0,01135;null;0,009625;0,007975;0,008975;0,0108;0,0093;0,0112
